"sex","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","labor_migrant_bari_in_bangladesh","years_of_education_wife","husband_occupation","years_of_education_husband","relocate_MI","institutionloan_vs_other","bank_vs_micro","husbandTravelINBangladesh","wifeTravelINBangladesh","wifeAbroadTravel","husbandAbroadTravel","listenRadio_h","useInternet_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","occupation_agriculture_dummy","occupation_mkt_connection","occupation_ses","age_wife","age_h","assetMobilePhone","assetSmartphone","assetComputer","assetElectricity","landOwnedFarmAmount"
1,5,100,251735,15500,5,0,3,0,1,5.90909090909091,2.90322580645161,1.31868131868132,5.45454545454545,10.9090909090909,1.97802197802198,6.7741935483871,3.96694214876033,16.3636363636364,52.2727272727273,10,0,0,0,0,0,0,4,4,0,0,0,1,900,0,0,1,0,0,53,53,1,1,0,1,0
0,6,100,139850,10000,5,1,3,0,1,10.8333333333333,8.18181818181818,10.9090909090909,10,5.71428571428571,11.25,70,2.65193370165746,30,95.8333333333333,12,0,0,12,0,0,0,5,3,0,0,0,0,900,0,0,1,0,0,47,58,1,0,0,1,0
0,5,25,244400,43500,0,0,10,0,0,3.0952380952381,4.28571428571429,5.71428571428571,10,5.71428571428571,8.57142857142857,19.0909090909091,2.65193370165746,60,27.3809523809524,3,0,1,0,0,0,0,1,1,0,1,NA,NA,0,NA,NA,0,0,1,63,NA,1,0,0,0,100
0,6,25,281950,4250,1,1,6,0,0,10.8333333333333,15,20,10,3.87096774193548,5.80645161290323,6.7741935483871,1.99170124481328,30,18.5483870967742,2,6,1,0,0,1,0,0,1,0,0,0,0,900,0,1,0,0,1,56,60,1,1,0,1,0
0,6,75,173725,55000,7,0,3,0,0,5.90909090909091,5.625,7.5,5.45454545454545,7.5,5,19.0909090909091,3.96694214876033,16.3636363636364,52.2727272727273,48,5,1,4,0,0,0,10,5,0,8,NA,1,0,0,0,0,0,1,43,51,1,1,0,1,0
0,5,100,141525,2250,2,0,4,0,0,5.90909090909091,2.90322580645161,3.87096774193548,2.85714285714286,5.71428571428571,2.95081967213115,35,2.65193370165746,8.57142857142857,0.998263888888889,0,2,0,0,0,0,0,3,3,0,0,0,0,NA,0,0,1,0,0,68,79,1,0,1,1,0
1,6,75,403430,5833.333333,4,1,5,0,1,10.8333333333333,2.90322580645161,3.87096774193548,2.85714285714286,5.71428571428571,2.95081967213115,6.7741935483871,3.17880794701987,30,27.3809523809524,9,9,1,10,1,0,0,8,8,0,0,0,1,0,0,0,0,0,1,55,55,1,1,1,1,28
1,5,75,204400,24098.33333,1,2,6,0,1,3.0952380952381,8.18181818181818,10.9090909090909,2.85714285714286,0.991735537190083,3.52941176470588,3.44262295081967,0.997920997920998,11.25,52.2727272727273,0,0,1,5,0,1,0,0,1,0,1,0,1,900,0,1,0,0,1,72,73,1,0,0,1,0
0,4,75,69955,12000,0,0,2,0,2,8.125,2.19512195121951,2.92682926829268,10,20,4.39024390243902,52.5,3.96694214876033,30,95.8333333333333,0,10,10,0,0,1,1,10,11,0,0,0,0,3600,0,1,1,3,3,48,59,0,1,1,0,0
0,5,100,47675,25000,2,1,3,1,0,3.42105263157895,4.28571428571429,5.71428571428571,20,20,5.80645161290323,210,3.96694214876033,45,95.8333333333333,35,9,9,9,0,0,0,8,9,0,0,0,0,NA,0,1,1,2,2,83,81,1,0,1,0,132
0,6,50,344475,21666.66667,0,0,4,0,0,5.90909090909091,90,1.9672131147541,2.85714285714286,7.5,8.57142857142857,35,2.65193370165746,8.57142857142857,4.75206611570248,10,8,1,9,1,0,0,2,2,0,8,0,0,NA,NA,0,0,0,1,36,NA,1,1,0,1,20
1,3,100,205325,37000,1,0,1,0,0,10.8333333333333,0.989010989010989,1.9672131147541,5.45454545454545,7.5,2.95081967213115,6.7741935483871,480,16.3636363636364,27.3809523809524,0,4,9,5,0,1,0,3,3,0,0,0,0,150,0,1,1,2,2,54,54,1,0,0,0,0
0,6,100,287075,51000,2,2,7,0,1,10.8333333333333,4.28571428571429,5.71428571428571,5.45454545454545,3.87096774193548,5.80645161290323,3.44262295081967,2.65193370165746,8.57142857142857,18.5483870967742,7,0,7,5,0,0,0,4,2,0,0,NA,NA,NA,NA,NA,1,1,1,37,NA,1,1,0,1,0
1,6,25,190750,18100,7,2,5,0,0,10.8333333333333,2.90322580645161,3.87096774193548,2.85714285714286,1.9672131147541,1.97802197802198,2.30769230769231,1.59468438538206,30,6.31868131868132,5,0,4,5,0,0,0,6,2,0,0,0,0,900,0,0,1,1,0,65,65,0,0,0,1,120
0,6,75,318365,22083.33333,0,0,2,0,0,5,90,1.9672131147541,10,10.9090909090909,11.25,35,2.27488151658768,30,22.1153846153846,0,0,2,0,1,1,0,3,2,0,2,0,0,NA,NA,NA,0,0,0,51,NA,1,0,0,1,0
1,6,100,145800,20000,7,0,3,0,0,5.90909090909091,2.90322580645161,3.87096774193548,6.66666666666667,3.87096774193548,1.97802197802198,19.0909090909091,1.99170124481328,8.57142857142857,18.5483870967742,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,74,74,1,1,0,1,0
0,6,100,72320,15000,0,1,5,0,0,5.90909090909091,1.95652173913043,2.60869565217391,10,10.9090909090909,2.95081967213115,6.7741935483871,2.65193370165746,16.3636363636364,9.42622950819672,3,0,4,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,1,1,0,42,NA,1,0,0,1,0
1,5,75,203195,20000,1,2,5,0,0,16.25,90,1.9672131147541,2.85714285714286,1.69014084507042,2.95081967213115,3.44262295081967,2.65193370165746,2.09302325581395,4.75206611570248,9,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,2,56,56,1,0,0,1,0
0,6,50,424775,17000,1,1,5,0,0,5.90909090909091,4.28571428571429,5.71428571428571,5.45454545454545,10.9090909090909,8.57142857142857,6.7741935483871,2.27488151658768,16.3636363636364,18.5483870967742,5,9,9,9,0,0,0,10,13,0,0,0,0,600,1,1,1,2,2,50,56,1,1,1,1,0
0,6,100,163695,26000,2,2,6,0,0,3.0952380952381,2.90322580645161,3.87096774193548,1.93548387096774,3.87096774193548,5.80645161290323,10,2.65193370165746,8.57142857142857,18.5483870967742,4,0,4,1,0,0,0,2,2,0,0,NA,NA,NA,NA,NA,1,1,0,70,NA,1,1,0,1,0
1,6,100,139850,10000,4,0,3,0,0,5.90909090909091,2.90322580645161,3.87096774193548,20,20,5,35,1.77121771217712,45,95.8333333333333,5,0,12,1,0,1,0,10,2,0,0,0,0,1800,0,1,1,1,2,61,61,1,0,0,1,0
1,6,100,298245,24000,6,2,6,0,0,5.90909090909091,2.90322580645161,3.87096774193548,5.45454545454545,10.9090909090909,2.95081967213115,1.73553719008264,2.27488151658768,30,52.2727272727273,4,8,9,8,0,1,0,1,4,0,0,0,0,210,0,1,1,2,2,54,54,1,1,0,1,35
1,6,75,359350,24600,6,0,5,0,2,10.8333333333333,8.18181818181818,10.9090909090909,5.45454545454545,10.9090909090909,11.25,19.0909090909091,3.17880794701987,22.5,52.2727272727273,9,5,1,3,0,0,0,5,3,0,0,0,2,900,0,0,0,0,1,58,58,1,1,0,1,60
0,5,50,90545,18350,1,1,4,0,0,5.90909090909091,90,1.9672131147541,3.75,2.92682926829268,1.69811320754717,6.7741935483871,1.59468438538206,11.25,8.09859154929577,19,5,1,5,1,0,0,4,8,0,0,0,NA,3600,0,0,0,0,1,32,43,1,0,0,0,30
0,5,100,258375,4500,1,0,3,0,0,2.09677419354839,2.19512195121951,2.92682926829268,10,3.87096774193548,5.80645161290323,5.1219512195122,1.99170124481328,5,18.5483870967742,0,5,1,6,1,0,0,4,1,0,2,NA,NA,NA,NA,NA,0,0,1,36,NA,1,0,0,0,0
1,2,100,117220,15000,0,1,2,0,0,5.90909090909091,1.95652173913043,2.60869565217391,10,1.9672131147541,2.22222222222222,10,1.99170124481328,30,9.42622950819672,14,4,10,12,0,1,0,3,3,0,1,0,0,3600,0,0,1,3,3,31,31,1,0,0,0,0
1,6,50,570875,74083.33333,2,1,5,0,0,4.0625,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,35,2.27488151658768,8.57142857142857,18.5483870967742,2,0,1,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,1,67,67,1,1,0,1,50
0,6,100,86750,11500,2,1,4,0,2,5.90909090909091,3.46153846153846,4.61538461538461,5.45454545454545,3.87096774193548,5.80645161290323,19.0909090909091,2.65193370165746,20,18.5483870967742,0,9,1,10,0,0,0,7,4,0,2,NA,NA,NA,NA,NA,0,0,1,30,45,1,0,0,1,0
1,6,100,336725,105583.3333,3,1,4,0,0,3.0952380952381,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,105,2.65193370165746,30,9.42622950819672,7,10,9,9,0,0,0,13,2,0,0,0,0,140,1,1,1,2,2,60,60,1,1,0,1,90
0,4,25,144345,7933.333333,2,1,2,0,0,5.90909090909091,2.90322580645161,3.87096774193548,1.93548387096774,3.87096774193548,5.80645161290323,19.0909090909091,1.99170124481328,8.57142857142857,18.5483870967742,0,10,4,10,0,1,1,7,4,0,0,0,0,NA,NA,1,1,1,0,45,52,1,0,0,1,2
0,5,100,52380,5100,6,0,3,0,1,4.0625,4.28571428571429,5.71428571428571,5.45454545454545,5.71428571428571,8.57142857142857,13.125,1.99170124481328,8.57142857142857,27.3809523809524,5,0,9,3,0,0,0,6,4,0,8,NA,NA,NA,NA,NA,1,2,2,64,NA,0,0,0,1,0
1,6,75,144850,58750,10,0,3,0,0,10.8333333333333,2.90322580645161,3.87096774193548,10,20,5.80645161290323,35,3.96694214876033,16.3636363636364,18.5483870967742,15,0,2,0,0,1,0,2,3,0,0,0,0,0,0,1,0,0,0,78,78,1,0,0,0,6.65
0,6,75,235820,20350,1,0,2,0,1,10.8333333333333,2.19512195121951,2.92682926829268,20,3.87096774193548,5.80645161290323,3.44262295081967,1.99170124481328,5,18.5483870967742,39,8,23,12,1,1,1,3,2,0,8,0,0,NA,1,NA,1,3,3,38,NA,1,1,0,1,35
1,6,100,126965,10000,5,0,2,0,0,3.0952380952381,3.46153846153846,4.61538461538461,20,20,5.80645161290323,35,2.65193370165746,45,95.8333333333333,6,0,0,0,0,0,0,3,2,0,0,0,0,1800,0,0,1,0,0,61,61,1,0,0,1,0
0,6,100,326310,18000,0,2,5,0,0,16.25,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,10,3.17880794701987,16.3636363636364,15.9722222222222,1,5,4,10,0,1,0,3,4,0,0,0,0,1800,0,1,1,1,0,59,66,1,1,0,1,60
0,4,50,204700,7500,1,1,6,0,0,5.90909090909091,4.28571428571429,5.71428571428571,2.85714285714286,4.61538461538461,3.91304347826087,3.44262295081967,1.99170124481328,8.57142857142857,27.3809523809524,4,5,9,2,0,1,0,2,0,0,0,0,0,5400,0,1,1,2,2,28,29,1,1,0,1,0
0,6,100,410105,50010,1,0,2,0,0,21.6666666666667,15,20,10,3.87096774193548,5.80645161290323,6.7741935483871,2.65193370165746,30,18.5483870967742,15,10,0,5,0,0,0,13,5,0,0,1,NA,600,0,0,1,0,0,52,62,0,0,0,1,28
0,5,100,137860,42000,5,1,3,0,0,10.8333333333333,2.90322580645161,3.87096774193548,5.45454545454545,10.9090909090909,2.95081967213115,13.125,1.99170124481328,16.3636363636364,18.5483870967742,11,0,1,7,0,0,0,4,4,0,0,NA,NA,NA,NA,NA,0,0,1,65,NA,1,0,0,1,12
0,6,25,137525,72083.33333,7,0,7,0,3,21.6666666666667,2.90322580645161,3.87096774193548,3.75,3.87096774193548,1.97802197802198,2.95774647887324,1.59468438538206,11.25,6.31868131868132,3,5,10,9,0,1,0,12,0,0,0,0,NA,NA,0,NA,1,3,3,66,NA,1,0,0,1,40
1,5,100,194225,11200,7,2,5,0,0,10.8333333333333,1.47540983606557,3.87096774193548,10,4.61538461538461,8.57142857142857,6.7741935483871,2.65193370165746,22.5,9.42622950819672,4,2,0,2,0,0,0,2,2,0,1,0,0,3600,0,1,1,0,0,63,63,1,0,0,1,0
0,6,75,199625,35375,2,0,4,0,0,5.90909090909091,4.28571428571429,5.71428571428571,3.75,7.5,2.95081967213115,10,3.17880794701987,11.25,18.5483870967742,1,0,1,2,0,0,0,11,1,0,0,0,0,0,NA,NA,0,0,1,66,NA,1,0,0,0,45
0,6,100,288210,51000,4,1,3,0,2,5.90909090909091,8.18181818181818,10.9090909090909,1.93548387096774,0.991735537190083,2.53521126760563,10,43.6363636363636,30,52.2727272727273,2,5,13,5,0,0,0,2,4,0,0,0,0,900,0,1,1,0,1,52,62,1,1,0,1,0
1,6,50,369380,50800,5,1,5,0,0,10.8333333333333,5.625,7.5,10,17.1428571428571,2.95081967213115,19.0909090909091,3.96694214876033,30,95.8333333333333,13,5,1,10,1,0,0,4,6,0,8,0,0,4500,0,0,0,0,1,48,48,1,1,0,1,130
0,6,100,325610,16750,0,1,5,0,0,10.8333333333333,2.90322580645161,3.87096774193548,20,3.87096774193548,3.91304347826087,35,2.65193370165746,8.57142857142857,18.5483870967742,0,12,12,0,0,0,0,3,2,0,0,0,0,900,0,0,1,1,2,40,49,1,1,0,1,0
1,6,75,564925,33500,1,2,6,0,0,10.8333333333333,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,10,1.99170124481328,30,18.5483870967742,2,0,9,5,1,0,0,10,2,0,0,0,0,2100,0,0,1,2,2,47,47,1,1,0,1,0
1,6,100,113475,10000,2,1,4,0,1,8.125,3.46153846153846,4.61538461538461,10,20,5.80645161290323,35,3.17880794701987,30,18.5483870967742,5,9,4,10,1,0,0,10,2,0,0,0,1,300,0,1,1,1,0,30,30,1,1,0,1,0
0,6,100,157550,23000,0,0,4,0,0,10.8333333333333,2.90322580645161,3.87096774193548,10,3.87096774193548,8.57142857142857,4.56521739130435,2.65193370165746,5.80645161290323,18.5483870967742,13,8,9,0,1,0,0,4,4,0,0,0,0,NA,NA,NA,1,2,2,35,NA,1,0,0,1,0
0,5,75,269485,52000,4,1,3,0,2,10.8333333333333,4.28571428571429,5.71428571428571,5.45454545454545,3.87096774193548,5.80645161290323,6.7741935483871,2.65193370165746,8.57142857142857,18.5483870967742,19,5,1,2,1,0,0,4,4,0,8,0,1,0,1,1,0,0,1,55,64,1,1,0,1,0
0,4,100,111650,25000,3,0,2,0,0,10.8333333333333,2.19512195121951,2.92682926829268,3.75,7.5,2.95081967213115,13.125,2.65193370165746,8.57142857142857,35.9375,0,1,9,3,0,0,0,3,2,0,0,0,NA,NA,NA,NA,1,2,2,66,73,1,0,0,1,0
0,6,25,273925,19000,1,1,2,0,1,5.90909090909091,2.90322580645161,3.87096774193548,10,10.9090909090909,2.95081967213115,10,2.27488151658768,30,9.42622950819672,6,0,1,0,0,1,0,2,2,0,0,0,0,2100,0,1,0,0,1,52,64,1,1,0,1,12
1,6,100,60545,12000,2,0,3,0,0,3.0952380952381,2.90322580645161,3.87096774193548,2.85714285714286,3.87096774193548,2.95081967213115,2.95774647887324,1.99170124481328,16.3636363636364,18.5483870967742,5,5,9,0,1,0,0,4,1,0,0,0,0,420,0,0,1,2,2,53,53,0,0,0,1,0
0,6,100,238650,28833.33333,6,1,5,0,2,5.90909090909091,4.28571428571429,5.71428571428571,15,3.87096774193548,5.80645161290323,35,2.65193370165746,30,27.3809523809524,2,1,0,5,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,70,75,1,1,0,1,50
0,6,100,232325,2000,4,2,6,0,3,10.8333333333333,2.90322580645161,3.87096774193548,10,4.61538461538461,5.80645161290323,35,2.27488151658768,11.25,18.5483870967742,9,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,1,0,0,64,NA,1,1,0,1,0
0,6,100,244000,26100,0,0,3,0,0,10.8333333333333,4.28571428571429,5.71428571428571,10,10.9090909090909,2.95081967213115,19.0909090909091,3.17880794701987,11.25,35.9375,0,0,10,0,1,0,0,1,1,0,0,0,0,900,0,0,1,3,3,44,49,1,0,0,0,0
0,6,75,375415,85000,7,1,5,0,2,3.0952380952381,2.19512195121951,2.92682926829268,7.5,3.87096774193548,5.80645161290323,6.7741935483871,2.65193370165746,16.3636363636364,18.5483870967742,12,9,1,10,0,1,0,8,4,0,1,0,1,3600,0,0,0,0,1,58,60,1,1,0,1,0
0,6,50,223500,65500,3,1,5,0,3,3.0952380952381,0.989010989010989,1.9672131147541,5.45454545454545,3.87096774193548,2.22222222222222,6.7741935483871,1.99170124481328,11.25,12.5,0,3,4,0,0,0,0,3,7,0,0,0,1,0,0,1,1,1,0,60,63,1,1,0,1,120
0,6,100,100980,4500,10,0,4,0,0,10.8333333333333,2.90322580645161,3.87096774193548,15,10.9090909090909,1.48760330578512,10,2.27488151658768,2.95081967213115,12.5,13,1,6,1,0,0,0,4,1,0,0,0,0,140,0,0,0,0,1,57,59,1,0,0,1,18
0,6,50,390275,175166.6667,7,2,4,0,2,5.90909090909091,90,1.9672131147541,3.75,2.35294117647059,5.80645161290323,10,15.4838709677419,22.5,9.42622950819672,12,0,1,0,0,1,0,8,2,0,0,NA,NA,0,0,0,0,0,1,67,NA,1,0,0,1,32
0,6,100,648525,20000,1,2,5,0,3,10.8333333333333,8.18181818181818,10.9090909090909,10,10.9090909090909,4.39024390243902,35,2.65193370165746,22.5,35.9375,0,0,0,5,1,1,0,NA,1,0,NA,0,0,1800,0,1,1,0,0,39,59,0,1,0,1,0
1,6,100,150500,20300,0,2,8,0,1,4.0625,5.625,7.5,10,20,5.80645161290323,35,1.99170124481328,30,52.2727272727273,4,5,10,0,0,1,0,3,2,0,0,0,1,900,0,1,1,3,3,55,55,1,1,0,1,0
0,4,100,96900,17000,0,1,4,0,0,5.90909090909091,2.19512195121951,2.92682926829268,5.45454545454545,10.9090909090909,2.95081967213115,6.7741935483871,2.65193370165746,8.57142857142857,18.5483870967742,0,0,10,0,0,0,0,8,16,1,0,0,0,3600,0,1,1,3,3,50,60,1,0,0,1,5
0,6,25,127900,106333.3333,5,0,5,0,0,10.8333333333333,2.90322580645161,3.87096774193548,5.45454545454545,3.87096774193548,1.97802197802198,10,3.96694214876033,8.57142857142857,11.2745098039216,3,0,4,0,0,0,0,8,4,0,0,0,2,0,1,1,1,1,0,60,63,1,1,0,0,6
0,5,100,735775,216000,1,0,4,0,0,3.0952380952381,90,1.9672131147541,1.93548387096774,3.87096774193548,1.48760330578512,19.0909090909091,15.4838709677419,8.57142857142857,27.3809523809524,4,0,0,0,1,0,0,3,3,1,0,0,0,1800,1,1,1,0,0,61,74,1,1,0,1,70
0,6,25,505425,63500,1,2,7,3,1,10.8333333333333,5.625,7.5,10,20,16.3636363636364,35,3.17880794701987,30,52.2727272727273,4,5,1,7,0,1,0,4,6,0,0,2,2,4500,0,0,0,0,1,56,67,1,1,0,1,0
0,6,100,244845,20000,2,0,4,0,2,10.8333333333333,15,20,10,7.5,5.80645161290323,19.0909090909091,2.65193370165746,30,95.8333333333333,29,0,8,0,0,0,0,10,4,0,0,0,NA,900,0,0,1,1,1,50,53,1,1,0,1,0
1,6,75,352975,39166.66667,0,2,6,0,0,10.8333333333333,90,0.991735537190083,2.85714285714286,7.5,2.95081967213115,19.0909090909091,2.65193370165746,8.57142857142857,14.0243902439024,0,12,9,8,0,0,0,10,2,0,0,0,0,1800,0,0,1,2,2,56,56,1,1,0,1,0
0,6,100,670775,99083.33333,2,1,4,0,0,10.8333333333333,2.90322580645161,3.87096774193548,5.45454545454545,7.5,8.57142857142857,19.0909090909091,1.59468438538206,16.3636363636364,52.2727272727273,11,14,9,14,0,0,0,2,4,0,1,NA,0,1800,0,0,1,2,2,35,46,1,1,0,1,240
0,6,100,670775,22500,2,2,5,0,0,5.90909090909091,4.28571428571429,5.71428571428571,10,2.92682926829268,4.39024390243902,19.0909090909091,1.99170124481328,16.3636363636364,4.75206611570248,2,0,10,6,1,0,0,2,2,0,0,NA,0,NA,NA,NA,1,3,3,29,NA,1,1,0,1,240
0,6,100,166020,45800,1,0,3,0,3,10.8333333333333,2.19512195121951,2.92682926829268,20,1.31868131868132,2.22222222222222,19.0909090909091,43.6363636363636,5.80645161290323,14.0243902439024,5,5,6,0,0,1,0,6,4,0,0,0,0,1800,0,1,0,0,1,45,47,1,0,0,1,0
0,6,100,381825,55000,5,1,5,0,2,16.25,2.90322580645161,3.87096774193548,10,20,3.91304347826087,35,2.65193370165746,30,95.8333333333333,0,1,0,9,0,1,0,4,4,0,0,0,0,900,0,1,1,0,0,56,58,1,1,0,1,0
0,6,100,409485,50010,2,2,7,0,2,21.6666666666667,5.625,7.5,10,7.5,2.22222222222222,2.95774647887324,2.65193370165746,16.3636363636364,95.8333333333333,39,17,9,12,0,0,0,5,9,0,0,0,1,3600,0,1,1,2,2,46,51,1,1,1,1,64
1,6,100,660550,48100,2,2,10,0,0,2.09677419354839,2.90322580645161,3.87096774193548,2.85714285714286,3.87096774193548,5.80645161290323,10,1.99170124481328,8.57142857142857,18.5483870967742,9,9,1,0,1,0,0,4,8,0,0,0,0,0,0,0,0,0,1,59,59,1,1,0,1,100
1,6,100,632925,0,4,1,7,0,1,8.125,2.90322580645161,3.87096774193548,2.85714285714286,5.71428571428571,8.57142857142857,10,3.17880794701987,30,27.3809523809524,17,8,0,10,1,0,0,4,5,0,0,0,1,900,0,1,1,0,0,48,48,1,1,0,1,0
0,5,100,164975,17000,10,0,3,0,0,3.0952380952381,2.90322580645161,3.87096774193548,5.45454545454545,3.87096774193548,5.80645161290323,5.1219512195122,1.99170124481328,8.57142857142857,18.5483870967742,2,0,0,10,0,0,0,12,0,0,0,0,0,NA,0,1,1,0,0,57,62,1,0,0,1,28
0,6,25,185775,7666.666667,1,1,2,0,0,3.0952380952381,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,35,1.99170124481328,16.3636363636364,18.5483870967742,4,7,4,2,1,0,0,3,3,0,0,0,0,1050,0,0,1,1,0,28,44,1,0,0,1,0
0,6,25,281950,38161.08333,7,2,6,0,0,5.90909090909091,1.95652173913043,2.60869565217391,10,10.9090909090909,6.92307692307692,35,3.17880794701987,30,95.8333333333333,3,8,10,0,0,0,0,10,2,0,1,0,0,NA,NA,NA,1,3,3,63,NA,1,1,0,1,0
1,6,100,91105,12500,8,1,2,0,0,10.8333333333333,2.90322580645161,3.87096774193548,10,3.87096774193548,5.80645161290323,35,1.99170124481328,30,18.5483870967742,6,0,0,2,0,1,0,2,2,0,0,0,0,0,0,1,1,0,0,78,78,1,0,0,1,0
0,5,100,300195,17633.33333,0,2,6,0,0,10.8333333333333,90,1.9672131147541,2.85714285714286,7.5,2.95081967213115,6.7741935483871,1.99170124481328,11.25,27.3809523809524,15,5,1,8,0,1,0,10,5,0,0,NA,NA,NA,NA,NA,0,0,1,65,NA,1,0,0,1,0
0,5,100,76425,7500,1,0,2,0,0,4.0625,5.625,7.5,5.45454545454545,10.9090909090909,5.80645161290323,13.125,2.65193370165746,16.3636363636364,35.9375,2,0,12,10,1,0,0,12,2,0,0,NA,NA,NA,NA,NA,1,0,1,38,NA,1,0,0,1,0
0,6,100,301240,52500,4,0,4,0,3,5.90909090909091,8.18181818181818,10.9090909090909,3.75,3.87096774193548,16.3636363636364,70,2.65193370165746,11.25,18.5483870967742,15,2,9,3,0,0,0,3,2,0,1,0,1,1800,0,1,1,2,2,44,48,1,1,0,1,20
