"id","religion","skilledWork","skilledWorkWhich","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","No_in_hh","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","travel_in_bangladesh","labor_migrant_bari_in_bangladesh","gender","yearOfBirth","ageAtDeath","maritalStatus","mainOccupation","edulevel_years_of_education_values_0to19__blank_is_dont_know","inschool","educationmedium","husband_occupation","husband_years_education","husband_in_school","husband_ed_medium","watchTV_mins_per_month","relocate_MI","bank_vs_micro","institutionloan_vs_other","idhusband","foodSourceNow_h","skilledWork_h","MacArthurLadderPresent_h","MacArthurLadderTelephonePresent_h","listenRadio_h","useInternet_h","yearOfBirth_h","mainOccupation_h","travel_in_bangladesh_h","travel_abroad_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","total_income_h"
"03E5D296-CE95-412A-8830-E2E14DA84844","ISLAM",0,NA,2,"25 percent from own work",298575,10,17633.3333333333,11,"less",3,0,3,10,30,30,20,30,30,50,180,7,30,4,6,"F",1956,0,2,18,5,"No","Bangla",1,0,"No","No educaiton",120,0,0,0,"9A6ED3CA-B21C-D245-BAED-A28DAD42C43C","50 percent from own work",0,4,0,0,0,1955,1,5,1,900,0,0,4000
"04337336-BCF5-1449-8E35-EBFF3AAE55CE","ISLAM",1,"HANDY CRAFT",2,"all from bazar",106410,5,10500,0,"average",2,0,0,5,30,30,20,30,30,20,240,20,30,6,8,"F",1977,0,2,18,5,"No","Bangla",12,0,"No","No educaiton",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"048AA5B0-AA47-6B41-A1D1-050BB85D70FD","ISLAM",1,"PATI- MOILLAH",1,"all from bazar",130965,8,63000,6,"average",3,0,1,2,30,30,5,20,20,10,180,5,20,27,20,"F",1965,0,2,18,5,"No","Bangla",10,6,"No","Bangla",120,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04953CAB-14FB-2A44-8AAB-9348634CE657","ISLAM",0,NA,1,"all from bazar",329850,5,25000,2,"average",6,0,0,5,15,15,15,25,25,35,240,5,25,24,7,"F",1972,0,2,18,7,"No","Bangla",9,0,"0","0",1800,0,0,0,"B6003560-C93D-9043-BECD-92736CBE9AF8","25 percent from own work",0,0,2,0,0,1967,4,10,0,0,0,0,20000
"0542540B-4CD8-0547-8B67-9916E3E1102F","ISLAM",0,NA,1,"25 percent from own work",165070,6,32000,3,"more",5,0,0,5,30,30,20,30,20,20,120,20,10,6,2,"F",1974,0,2,18,1,"No","Bangla",2,0,"0","0",120,0,0,1,"49EE0A30-FC1F-8943-BDC4-5D0CDCCC1790","all from bazar",0,3,0,0,2,1971,4,5,0,0,0,1,6000
"05973754-27A6-1E4F-96B5-1AD53A56B667","ISLAM",0,NA,1,"all from bazar",458140,5,142000,3,"more",7,0,1,20,10,10,5,15,60,10,180,5,15,13,45,"F",1969,0,2,10,12,"No","Bangla",9,12,"No","Bangla",900,0,0,0,"D2CFF3E7-88E0-0F43-9297-E31D9F931DBF","50 percent from own work",0,7,0,0,0,1960,9,4,0,4500,0,0,170000
"05C58388-D7A4-6843-B3F1-C8F975C3D744","ISLAM",0,NA,1,"25 percent from own work",132820,6,6291.66666666667,2,"average",5,0,2,15,10,10,10,30,30,60,360,10,10,10,2,"F",1980,0,2,18,10,"No","Bangla",10,14,"No","Bangla",0,0,0,0,"4856779A-5560-3B46-AD7E-E9D397D0F931","50 percent from own work",0,2,0,0,1,1971,10,9,0,900,0,0,10000
"074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE","ISLAM",0,NA,1,"75 percent from own work",303825,13,40683.3333333333,11,"average",6,0,0,10,30,30,10,20,60,90,270,20,60,10,3,"F",1951,0,2,18,0,"No","No educaiton",1,5,"No","Bangla",0,1,0,1,"274ED237-949D-944D-A0C6-3D67826ECCD7","75 percent from own work",0,4,0,0,0,1944,1,6,0,0,0,1,28000
"07912EE6-0285-4048-9223-1B307628C02E","ISLAM",1,"WEAVING MATE",1,"all from bazar",359195,10,90550,9,"average",5,0,0,60,60,60,30,30,30,30,180,30,30,15,12,"F",1951,0,4,18,5,"No","Bangla",0,5,"No","Bangla",900,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07D320AF-3E76-1A43-88F4-2FC765780D48","ISLAM",0,NA,1,"all from bazar",319450,5,45000,4,"less",5,0,2,8,21,21,5,15,80,20,210,20,30,4,4,"F",1977,0,2,18,5,"No","Bangla",9,0,"No","No educaiton",900,0,0,0,"30504A03-9023-834D-B146-86477580AD81","all from bazar",0,5,0,0,0,1970,9,6,1,0,0,1,20000
"086650F0-9323-AC45-8619-68599A4BE2ED","HINDU",0,NA,2,"all from bazar",168500,9,31000,2,"average",5,0,0,15,0,60,15,60,60,60,240,15,60,0,0,"F",1960,0,2,18,5,"No","Bangla",0,5,"No","Bangla",0,0,0,1,"99C80A64-7058-914B-A7EF-115344A85524","25 percent from own work",0,4,0,0,0,1956,1,3,0,0,1,1,20000
"088850A9-DE8C-7349-932E-E1E370A38076","ISLAM",1,"Pati banano",1,"all from bazar",54780,4,15000,1,"less",5,0,0,5,45,45,5,30,30,120,300,30,30,15,5,"F",1976,0,2,18,8,"No","Aliya Madrassa",5,0,"0","0",60,0,0,0,"AEDAB195-1B88-0B4C-AE71-2A2D618D222F","all from bazar",0,3,0,0,0,1973,5,8,0,72000,0,0,30000
"08B360C1-D860-FA4E-952A-945A3446D9D1","ISLAM",0,NA,2,"all from bazar",429050,7,1800,4,"average",5,0,0,10,10,10,10,60,60,3,180,10,60,8,7,"F",1961,0,4,18,0,"No","No educaiton",10,10,"No","Bangla",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08C490B8-8D54-A647-853F-31C05F5B472F","ISLAM",0,NA,2,"25 percent from own work",200500,5,6666.66666666667,1,"average",1,0,0,5,0,60,30,120,180,30,120,30,30,9,5,"F",1980,0,2,18,9,"No","Bangla",1,10,"No","Bangla",0,1,0,0,"77C17294-15F2-A74F-BF4E-467F294E3222","all from bazar",0,4,0,0,0,1979,0,8,2,900,0,0,6000
"094D6542-1E2E-8948-A91F-61E5CC5A221E","ISLAM",0,NA,1,"all from bazar",291200,7,45000,5,"average",3,0,1,10,30,30,7,30,30,20,180,20,30,5,3,"F",1972,0,0,18,9,"No","Bangla",10,10,"No","Bangla",900,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09A1E8E3-FCEA-B448-82D5-66C63802F970","ISLAM",0,NA,1,"all from own work",231675,10,21333.3333333333,1,"average",5,0,0,5,30,30,5,30,30,5,180,5,60,2,1,"F",1963,0,2,18,0,"No","No educaiton",1,4,"No","Bangla",0,0,0,1,"ABDD900B-1AAA-0D4A-B5E2-BE8654C40525","75 percent from own work",0,4,0,0,0,1959,2,6,0,1200,0,1,6500
"09D5EFC6-947E-D648-B633-169D3A6255F8","ISLAM",0,NA,1,"all from bazar",237250,4,36833.3333333333,1,"average",6,0,0,30,0,60,30,60,60,120,240,30,30,8,11,"F",1967,0,2,18,9,"No","Bangla",10,12,"No","Bangla",0,0,1,1,"E65E11BB-9AA5-A24C-A9C7-64C8F32ED545","all from bazar",0,5,0,0,1,1961,10,9,0,3600,1,1,18000
"09DED313-18D4-394F-A9C2-50E410FE17F7","ISLAM",0,NA,1,"25 percent from own work",221740,6,16458.3333333333,0,"less",5,0,0,30,40,40,30,30,30,45,180,30,30,8,10,"F",1980,0,2,18,9,"No","Bangla",23,9,"No","Bangla",0,1,0,0,"C09E7A6A-2AE8-724C-BD76-32ACA6406329","75 percent from own work",0,2,0,0,0,1965,1,5,0,1800,1,1,15000
"0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91","ISLAM",0,NA,1,"25 percent from own work",352975,14,39166.6666666667,9,"average",7,0,2,5,10,10,10,20,30,40,180,20,30,9,5,"F",1959,0,2,18,0,"No","No educaiton",10,5,"No","Bangla",0,0,0,0,"C1D66FB4-90AB-3E4C-9EBD-6D28C43C2BB5","75 percent from own work",0,5,0,0,0,1956,10,5,0,1800,0,1,60000
"0AD825DB-3DD8-8C43-8EDE-CF030F6098EF","ISLAM",0,NA,1,"all from bazar",87980,5,12000,4,"less",2,0,0,15,20,20,15,30,30,60,240,15,30,8,2,"F",1960,0,4,18,1,"No","Bangla",9,0,"No","No educaiton",900,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0ADE1685-655F-754F-A83E-4B72CECB364A","ISLAM",0,NA,1,"25 percent from own work",307100,6,35000,1,"average",7,0,1,30,30,30,30,60,60,30,300,5,60,6,5,"F",1986,0,2,18,5,"No","Bangla",12,7,"No","Bangla",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0BC68E77-B5B5-9849-9D16-EE9778C77915","ISLAM",0,NA,1,"all from bazar",255950,8,95833.3333333333,5,"more",7,0,1,5,30,30,10,10,180,30,240,10,60,8,18,"F",1966,0,4,18,0,"No","No educaiton",10,3,"No","Bangla",40,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0C13009C-8F36-2143-9C73-C67CB5EF153C","ISLAM",0,NA,2,"all from bazar",139025,5,25000,2,"less",3,0,0,10,0,60,15,30,30,30,240,15,60,4,19,"F",1965,0,2,18,6,"No","Bangla",4,5,"No","Bangla",1800,0,0,0,"3CD3BD61-6B62-2148-ACDB-C0D6132195EF","all from bazar",0,5,0,0,0,1962,4,9,3,120,0,1,13000
"0C2C4CE0-F13F-8A4A-B9DD-C8FFC2E6B968","ISLAM",1,"PATI BONA,KHATHA SHELAI",2,"all from bazar",146395,10,60000,1,"average",5,0,1,30,15,15,5,10,40,5,60,5,10,12,0,"F",1958,0,4,18,1,"No","Bangla",1,5,"No","Bangla",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0C662831-52DD-1041-96F2-CDBE6A6201E0","ISLAM",0,NA,1,"all from bazar",149820,10,46000,8,"less",2,0,3,10,30,30,10,30,30,10,360,20,30,3,13,"F",1956,0,4,18,0,"No","No educaiton",0,2,"No","Bangla",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0D0EFB1D-95F7-F24F-AAF6-A9B971C687BB","ISLAM",1,"PATI",1,"25 percent from own work",381350,6,9750,1,"average",6,0,0,10,10,10,10,10,30,3,150,10,10,12,15,"F",1972,0,2,18,9,"No","Bangla",9,12,"No","Bangla",120,0,0,0,"3B8E3412-0E4D-BA41-A511-2E8BCC916E48","75 percent from own work",0,6,0,0,1,1970,9,10,3,3600,0,1,30000
"0D554B9D-B2DF-854F-B137-FADDAEC745CF","ISLAM",0,NA,1,"all from bazar",214975,15,85000,0,"more",5,0,0,20,60,60,10,60,40,20,150,10,40,6,6,"F",1955,0,2,18,8,"No","Bangla",15,9,"No","Bangla",0,0,0,0,"D3909AF4-9985-504D-9C43-3C07E568ABB2","all from bazar",0,3,0,0,0,1947,0,9,0,1050,1,1,10000
"0D7AB5CE-5901-964C-8D88-795B4B2B0912","ISLAM",0,NA,1,"50 percent from own work",390275,8,91666.6666666667,5,"average",8,0,3,10,20,20,10,10,60,10,150,10,10,12,1,"F",1968,0,2,18,2,"No","Bangla",1,9,"No","Bangla",0,0,0,0,"12F41644-DE40-DD45-8AFC-0747AFD142A0","50 percent from own work",0,6,0,0,0,1964,1,7,0,2250,0,0,75000
"0DB81420-7024-084E-8DA0-7D1437E1A811","ISLAM",1,"Pati banate pare",2,"75 percent from own work",290975,11,43500,8,"less",9,0,0,5,0,60,2,20,80,60,120,10,20,16,39,"F",1960,0,2,18,0,"No","No educaiton",2,2,"No","Bangla",0,0,0,1,"626B23EC-B344-CE42-9800-D5B12C731F11","50 percent from own work",0,4,0,0,0,1961,4,10,0,0,0,1,31000
"0E00593C-28D3-3843-BF1D-6FEE2D742AFA","ISLAM",1,"HANDY CRAFT",1,"all from bazar",149075,8,15650,1,"average",5,0,0,20,30,30,30,30,30,20,180,20,30,11,14,"F",1984,0,2,18,13,"No","Bangla",10,0,"0","0",0,1,0,0,"B9194D4B-FC30-D54B-8382-82AB1E09B598","all from bazar",0,0,1,0,0,1973,10,12,0,1800,0,0,25000
"0E2849BB-373F-704C-AE53-72C2ACD925D0","ISLAM",0,NA,2,"25 percent from own work",227380,9,16433.3333333333,3,"less
more",4,0,0,10,10,10,10,10,30,40,240,10,10,13,9,"F",1961,0,2,18,0,"No","Bangla",1,5,"No","Bangla",0,0,0,0,"167795A0-6C5E-F24D-9CC0-F25E99EF1473","50 percent from own work",0,4,0,0,0,1957,1,6,0,120,0,0,8000
"0E300876-4672-8C41-8707-85A661E29E63","ISLAM",1,"Pati .Maylla",2,"all from bazar",272425,10,52000,13,"less",4,0,2,2,20,20,20,20,20,40,240,20,20,26,12,"F",1965,0,0,18,0,"No","No educaiton",23,0,"No","No educaiton",1800,0,0,0,"B5B06107-4827-1442-968B-AE9C102C707D","all from bazar",0,3,0,0,0,1956,23,6,0,1050,0,1,14000
"0E3761BC-9733-9E49-84DC-09D31528F47C","ISLAM",0,NA,1,"all from bazar",213920,9,34416.6666666667,6,"average",4,0,2,20,30,30,2,30,30,2,180,2,30,4,3,"F",1969,0,2,18,3,"No","Bangla",4,0,"No","No educaiton",0,0,0,0,"93A0127D-616F-D041-B42B-EA89E1445A7D","75 percent from own work",0,4,0,0,1,1963,2,6,0,0,1,1,30000
"0E726AFA-C218-F548-864F-86C40E9B4639","ISLAM",1,"MOYLLA",2,"25 percent from own work",180625,9,36208.3333333333,0,"less",4,0,0,20,90,90,30,90,90,40,210,30,30,6,14,"F",1984,0,2,18,7,"No","Bangla",1,2,"No","Bangla",0,1,0,0,"DA3A80B3-B353-D144-81A2-5F480B019E3D","75 percent from own work",0,4,0,0,0,1975,1,4,0,900,0,0,23000
"0E92ECE0-A7B9-6846-9720-3429EEEEE532","ISLAM",0,NA,1,"all from bazar",329020,17,50000,6,"average",6,0,3,20,30,30,5,30,30,60,240,5,30,7,7,"F",1948,0,4,18,0,"No","No educaiton",1,5,"No","Bangla",5400,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0F4219CA-3684-D844-8EF6-10B9603B6955","ISLAM",0,NA,1,"all from bazar",245500,5,40000,2,"average",8,0,1,0,60,60,0,0,0,0,180,0,0,6,5,"F",1983,0,2,18,10,"No","Bangla",10,10,"No","Bangla",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038A9EF-81CE-7848-BF09-47630858C071","HINDU",0,NA,1,"all from bazar",218975,8,22443.6666666667,1,"less",3,0,0,5,10,10,5,5,60,60,150,5,60,10,6,"F",1968,0,2,18,0,"No","No educaiton",9,0,"No","No educaiton",0,0,0,0,"7030343A-2704-444E-AE79-F7C4685440A9","all from bazar",0,3,0,0,0,1954,4,4,0,2700,0,1,8000
"103B32D5-58EA-264B-AA97-207D1911AE21","ISLAM",1,"PATI PAKHA",1,"25 percent from own work",238075,6,16833.3333333333,8,"more",5,0,0,10,10,10,5,20,25,40,180,10,20,7,4,"F",1966,0,2,18,5,"No","Bangla",2,0,"No","Bangla",2700,0,0,1,"A4562202-B1AA-A747-AF8F-5EF2A3D83957","75 percent from own work",1,4,0,0,0,1964,0,5,0,54000,0,0,13000
"107B6230-1C4C-0D43-ABC9-8389C924D1AD","ISLAM",0,NA,1,"75 percent from own work",264850,10,63666.6666666667,5,"more",6,0,1,15,15,15,5,5,25,46,90,5,5,12,3,"F",1962,0,2,18,0,"No","No educaiton",1,0,"0","0",0,0,0,1,"91137A75-31D8-3D4A-8B66-60C5A8156E77","75 percent from own work",0,5,0,0,2,1956,2,8,0,900,0,0,70500
"11249C1C-5862-784E-B43A-3936E7D788C8","ISLAM",0,NA,1,"all from bazar",50385,9,34500,16,"average",3,0,0,5,30,30,10,30,30,30,180,10,30,21,4,"F",1954,0,2,18,0,"0","0",0,9,"No","Bangla",2700,0,1,1,"20FDCB9F-815F-354D-B82D-562AF8A5D5FC","all from bazar",0,3,0,0,0,1951,0,5,2,900,0,1,5000
"1171BC0A-57BF-544D-A9BD-6FCDDC194F8B","ISLAM",0,NA,2,"75 percent from own work",117784,6,25666.6666666667,0,"less",1,0,0,10,30,90,15,15,60,60,240,15,15,12,4,"F",1963,0,2,18,0,"No","No educaiton",2,0,"0","0",1800,0,0,0,"015D90CB-26FF-A74B-8727-25D9D046530A","50 percent from own work",0,2,0,0,0,1961,10,6,0,4800,0,1,10000
"11B54D99-D709-174B-9EFB-9FA183AAE79F","ISLAM",0,NA,2,"all from bazar",78950,7,12100,1,"less",3,0,0,20,30,30,30,30,30,90,240,30,30,6,3,"F",1979,0,2,18,5,"No","Bangla",10,8,"No","Bangla",0,1,0,0,"7776FD96-3F71-AF43-8D05-DD615C14E704","all from bazar",0,0,2,0,0,1975,10,16,0,120,0,0,12000
"12249750-7E29-AE4A-9F01-25B18960C004","HINDU",0,NA,2,"all from bazar",47675,15,33000,3,"average",3,0,0,10,0,60,30,30,30,30,180,30,180,4,2,"F",1955,0,4,18,0,"No","No educaiton",5,0,"0","0",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227A235-0E6D-F54B-B945-4789965BB98E","HINDU",0,NA,1,"all from bazar",84160,5,12000,0,"less",1,0,0,15,25,25,10,15,15,15,180,15,20,8,4,"F",1983,0,2,18,4,"No","Bangla",4,0,"No","No educaiton",0,0,0,0,"A11215A5-1D5D-604C-9462-1089101CC8AC","all from bazar",0,2,0,0,0,1978,4,5,0,900,0,0,10000
"12E7A782-DD69-784A-8163-FCE3EC3BFA72","HINDU",0,NA,1,"all from bazar",227750,4,10000,2,"less",3,0,0,10,30,30,10,30,60,30,150,15,30,17,5,"F",1980,0,2,18,0,"No","No educaiton",9,5,"No","Bangla",3600,0,0,0,"4AD9EA5A-AEDD-944E-AAB5-5DDDBA7F2FC9","all from bazar",0,0,2,0,0,1973,9,8,0,1800,0,0,10000
"13556211-99ED-C647-B236-C803BDF9FB15","ISLAM",0,NA,1,"all from bazar",205500,6,6333.33333333333,1,"more",3,0,0,10,40,40,20,20,20,20,120,20,140,3,3,"F",1965,0,2,18,0,"No","No educaiton",1,5,"No","Bangla",0,0,0,1,"21B739F3-BE8A-F04D-96F4-E6C2F5C9FFB0","75 percent from own work",1,5,0,0,0,1962,1,5,0,900,0,1,25000
"1357842D-F937-FD44-8C30-5E717E621252","ISLAM",0,NA,2,"all from bazar",293650,10,22800,6,"less",1,0,0,30,0,60,5,60,30,60,180,60,60,2,5,"F",1968,0,2,18,0,"No","No educaiton",23,0,"No","No educaiton",30,0,0,1,"E8DE571A-7D86-B449-977B-7887663998E4","all from bazar",0,3,0,0,0,1962,4,4,0,900,0,1,12000
"137FE0EC-DA82-3B41-8EAB-EDF756730257","ISLAM",0,NA,1,"all from bazar",388950,7,19000,2,"average",5,0,0,10,15,15,10,10,45,20,180,5,15,25,25,"F",1959,0,4,18,10,"No","Bangla",10,14,"No","Bangla",9000,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13C71AC6-A236-BE40-94D0-734AB077FE8B","HINDU",0,NA,1,"all from bazar",268850,11,55000,4,"average",6,0,2,5,15,15,10,10,60,20,180,5,5,9,8,"F",1957,0,2,18,0,"No","No educaiton",9,10,"No","Bangla",3600,1,0,0,"FB28D849-24A2-E74A-97E2-6212F7F30947","25 percent from own work",0,4,0,0,0,1950,4,5,2,1800,0,0,15000
"13D85A3A-8BEE-8145-BF71-395EA4605B9C","ISLAM",0,NA,1,"all from bazar",160575,7,25000,1,"average",4,0,0,20,6,6,3,10,30,30,150,10,30,6,15,"F",1985,0,2,8,8,"No","Bangla",9,0,"0","0",900,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1423C99E-F357-3E41-BFA8-AD4C919A66ED","ISLAM",0,NA,1,"all from bazar",189750,8,42100,1,"less",3,0,2,30,30,30,10,30,30,90,240,10,30,3,7,"F",1980,0,2,18,8,"No","Bangla",10,0,"0","0",3600,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146C5E3F-BACD-404C-A670-184E5E9835B2","ISLAM",0,NA,2,"25 percent from own work",155375,5,5083.33333333333,3,"average",4,0,0,10,60,60,15,15,60,15,180,15,15,8,41,"F",1968,0,2,18,7,"No","Bangla",2,10,"No","Bangla",0,0,0,0,"EFE6332F-EAFE-D34C-9532-9A18E2CEF81F","75 percent from own work",0,4,0,0,0,1965,2,6,2,1050,0,0,16500
"14837634-2F57-8E46-BA5C-5D85C943CDCA","ISLAM",1,"PATI",2,"75 percent from own work",124200,4,6250,0,"average",4,0,0,15,20,20,10,30,30,10,180,30,30,6,2,"F",1983,0,2,18,10,"No","Don't know",9,12,"No","Bangla",30,1,0,0,"55C1470D-9770-9D44-8D9C-C765B37DD99D","75 percent from own work",1,4,0,0,1,1980,12,6,0,3600,0,0,34000
"157B3B2E-4165-444B-A8BD-23D7B8F3751B","ISLAM",0,NA,2,"75 percent from own work",190375,5,18100,1,"average",3,0,0,15,0,60,15,60,60,30,210,30,60,6,10,"F",1977,0,2,18,5,"No","Bangla",23,0,"No","No educaiton",30,0,0,1,"BFA910BC-D380-AB48-9B5D-0EB50E4E22A2","75 percent from own work",0,3,0,0,0,1977,23,7,0,54000,0,1,15000
"15B7B4CF-89F5-9C4C-B951-B5C451BF8D73","ISLAM",0,NA,3,"25 percent from own work",133120,6,583.333333333333,0,"average",4,0,0,2,30,30,30,30,60,20,180,20,60,4,9,"F",1980,0,2,18,8,"No","Bangla",1,9,"No","Bangla",0,0,0,0,"99BD1E0D-3E6F-C142-8398-2630B60D5616","50 percent from own work",0,5,0,0,0,1962,1,2,0,0,0,0,37000
