id,religion,skilledWork,religiousEducationMuslim,religiousEducationFromSchool,religiousEducationFromReligiousLeader,religiousEducationFromFamily,religiousEducationFromTemple,religiousEducationFromNoOne,religiousEducationFromRelatives,religiousEducationNeverLearned,religiousEducationFromOthers,religiousEducationReadReligiousText,religiousEducationReadTextLevel,religiousEducationReadTextBangla,religiousEducationReadTextSanskrit,religiousEducationReciteText,religiousEducationMemorizeTextLevel,religiousEducationGoneOnUmrah,religiousEducationGoneOnHajj,religiousEducationNumberFamilyUmrah,religiousEducationNumberFamilyHajj,religiousEducationReadOtherHolyBooks,religiousEducationGoneOnPilgrimageIndia,religiousEducationGoneToHolyPlaces,religiousEducationNumberPilgrimageIndia,religiousEducationNumberHolyPlaces,assetPrimaryResidence,assetOwnHouse,assetInheritHouse,assetNumberOfHousesOwned,assetPrimaryResidenceAge,assetPrimaryResidenceRooms,assetPrimaryResidenceRoof,assetPrimaryResidenceRoofOther,assetPrimaryResidenceWall,assetPrimaryResidenceWallOther,assetPrimaryResidenceFloor,assetPrimaryResidenceFloorOther,assetPrimaryResidenceFuel,assetPrimaryResidenceToiletType,assetPrimaryResidenceToiletOwnShared,assetElectricity,assetElectricityYears,assetChargerLight,assetChargerLightNumber,assetElectricFan,assetElectricFanNumber,assetElectricLight,assetElectricLightDegree,assetSolarPanel,assetSolarPanelSize,assetGenerator,assetGeneratorNumber,assetTelevision,assetTelevisionNumber,assetFridge,assetFridgeNumber,assetQuilt,assetQuiltNumber,assetMattress,assetMattressNumber,assetCot,assetCotNumber,assetChair,assetChairNumber,assetSofa,assetSofaNumber,assetSofaSet,assetSofaSetNumber,assetRack,assetRackNumber,assetCabinet,assetCabinetNumber,assetTable,assetTableNumber,assetDressingTable,assetDressingTableNumber,assetCookingPotsDegree,assetChickenDucks,assetChickenDucksNumber,assetGoats,assetGoatsNumber,assetCowsOxen,assetCowsOxenNumber,assetRickshaw,assetRickshawNumber,assetAutorickshaw,assetAutorickshawNumber,assetBicycle,assetBicycleNumber,assetMotorcycle,assetMotorcycleNumber,assetCNGTomTom,assetCNGTomTomNumber,assetBoat,assetBoatEngine,assetShop,assetShopSize,assetTractor,assetTractorNumber,assetTubeWell,assetTubeWellOwn,assetDeepTubewell,assetPond,assetPondSize,assetPondOwn,assetMobilePhone,assetMobilePhoneNumber,assetSmartphone,assetSmartphoneNumber,assetComputer,assetComputerNumber,notesHouseholdAssets,notesFoodSecurity,FoodSecurity,landOwnedHouseAmount,landOwnedFarmAmount,landOwnedUnit,landInheritanceHusband,landInheritanceHusbandLater,landInheritanceRespondent,landPurchasedHusband,landPurchasedRespondent,foodSourceChildhood,foodSourceNow,notesLandInheritance,landPurchasedHusbandNA,landInheritanceHusbandNA,landInheritanceRespondentLater,landInheritanceRespondentNA,landPurchasedRespondentNA,WEALTH_TOTAL_VAL,familyBariSocialClassAfter,MacArthurLadderPresent,MacArthurLadderPast,id_Questionaire,id,gender,relationToRespondent,incomeTotalMonthly,incomeYearlyCrops,incomeMonthlyRentsInvestments,incomeMonthlyPension,remittance,incomeMonthlyRemittance,id_Questionaire,NoInHH,hh_income,HHInc_per_cap,,correlations
074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE,Islam,,1,,1,,,,,,,,,,,,,,,0,2,,,,,,1,1,,2,12,3,3,,3,,1,,1,3,shared,1,3,1,1,1,2,1,less,1,S,,,,,,,1,3,1,2,1,2,1,6,,,,,1,1,1,2,1,2,,,average,,,,,1,3,,,,,,,,,,,,,1,M,,,1,shared,,1,S,own,1,2,1,2,,,,,1,29,32,1,1,,,1,,75 percent from own work,75 percent from own work,,,,,,,303825,2,6,6,074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE,D2451740-DA22-5F49-A687-87C37B61D940,F,Respondent,0,0,0,0,Yes,5000,074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE,13,23000,1769.230769,,
07912EE6-0285-4048-9223-1B307628C02E,ISLAM,1,1,1,1,,,,,,,1,Can,,,1,Little,,,1,3,,,,,,1,,1,1,2,4,2,,2,,2,,2,2,own,1,8,1,1,1,4,1,more,,,,,1,1,1,1,1,6,1,5,1,3,1,6,,,,1,,,1,1,1,1,1,1,less,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,11,6,1,1,,1,1,,all from own work,all from bazar,,,,,,,359195,2,5,2,07912EE6-0285-4048-9223-1B307628C02E,92BB67CA-8C97-9742-B098-CB51E01BD47E,F,Respondent,0,0,0,0,No,0,07912EE6-0285-4048-9223-1B307628C02E,10,90000,9000,,
07D320AF-3E76-1A43-88F4-2FC765780D48,ISLAM,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,1,1,,1,0,4,3,,3,,1,,1,3,own,1,18,,,1,4,1,average,1,S,,,1,1,1,1,1,3,1,3,1,3,1,2,1,,,1,1,1,1,3,1,2,1,1,average,1,4,,,,,,,,,,,,,,,,,,own,,,1,,,1,L,shared,1,2,1,1,,,,,1,0,5,3,,,,1,,50 percent from own work,all from bazar,,,,,,,319450,2,5,8,07D320AF-3E76-1A43-88F4-2FC765780D48,42CB5804-75CE-F24E-88BA-D7D180C885DB,F,Respondent,0,0,0,0,Yes,10000,07D320AF-3E76-1A43-88F4-2FC765780D48,5,35000,7000,,
086650F0-9323-AC45-8619-68599A4BE2ED,Hindu,,,,1,,,,,,,1,Good,1,,1,Little,,,,,1,,1,4,4,1,1,1,1,110,3,3,,3,,1,,1,4,own,,,,,,,1,less,1,S,,,,,,,1,3,1,3,1,3,1,4,,,,,1,1,1,2,,,,,average,1,2,,,1,2,,,,,,,,,,,,,,,,,1,own,,,,,1,3,,,,,,,2,10,18,1,1,,,,,all from bazar,all from bazar,,,,,,,168500,2,5,2,086650F0-9323-AC45-8619-68599A4BE2ED,1C970A51-22E4-9848-9E21-EFBDF9578832,F,Respondent,0,0,0,0,No,0,086650F0-9323-AC45-8619-68599A4BE2ED,9,26000,2888.888889,,
088850A9-DE8C-7349-932E-E1E370A38076,Islam,1,1,,1,,,,,,,1,Can,,,,,,,0,1,,,,,,5,1,,1,4,2,3,,3,,1,,1,3,shared,,,1,1,1,1,1,less,1,S,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,less,1,7,,,,,,,,,,,,,,,1,non-engine,,,,,,,,,,,1,1,,,,,,,1,8,0,1,,,,1,,all from bazar,all from bazar,,,,,,,54780,2,5,6,088850A9-DE8C-7349-932E-E1E370A38076,50FE56A6-FD1D-CE48-980D-C2FCFF92823E,F,Respondent,0,0,0,0,No,0,088850A9-DE8C-7349-932E-E1E370A38076,4,15000,3750,,
08B360C1-D860-FA4E-952A-945A3446D9D1,Islam,,1,,1,,,,,,,,,,,,,,,0,1,,,,,,1,1,1,1,20,6,3,,2,,2,,1,2,own,1,1.5,,,1,4,1,average,1,L,,,,,1,1,1,6,1,5,1,5,1,6,1,,,1,1,1,1,2,1,1,1,1,average,,,,,,,,,,,,,,,,,,,,,,,1,shared,,1,L,shared,,,1,2,,,,,2,42,0,1,1,,1,1,,25 percent from own work,all from bazar,,,,,,,429050,2,5,3,08B360C1-D860-FA4E-952A-945A3446D9D1,667F6796-3833-434B-AF29-D5F5297D1E8F,F,Respondent,,,,,No,0,08B360C1-D860-FA4E-952A-945A3446D9D1,7,NA,,,
08C490B8-8D54-A647-853F-31C05F5B472F,ISLAM,,1,,1,,,,,,,1,Good,,,,,,,1,0,,,,,,1,1,1,1,0,2,3,,3,,1,,1,3,own,1,15,1,1,1,2,1,average,,,,,,,1,1,1,3,1,2,1,2,1,2,1,,,1,,,1,2,1,1,1,1,average,1,7,,,,,,,,,,,,,,,,,,own,,,1,,,1,M,shared,1,1,,,,,,,2,5.5,30,1,1,,,,,all from own work,25 percent from own work,,,,,,,200500,2,1,3,08C490B8-8D54-A647-853F-31C05F5B472F,A973D8A8-CA8D-A643-B567-CD4BDE1303CE,F,Respondent,0,0,0,0,Yes,5000,08C490B8-8D54-A647-853F-31C05F5B472F,5,0,0,,
094D6542-1E2E-8948-A91F-61E5CC5A221E,Islam,,1,,1,,,,,,,1,Can,,,,,,,0,2,,,,,,1,1,1,1,70,4,3,,2,,2,,1,3,own,1,30,1,1,1,3,1,average,,,,,1,1,1,1,1,3,1,3,1,3,1,6,,,,,1,1,1,2,1,1,1,1,average,1,3,,,,,,,,,,,,,,,,,,,,,1,own,,1,M,shared,1,1,1,1,,,,,1,0,8,3,1,,,1,,all from own work,all from bazar,,,,,,,291200,2,3,5,094D6542-1E2E-8948-A91F-61E5CC5A221E,B46651CD-1E66-5D49-8BA8-8931865F4E67,F,Respondent,0,0,0,0,Yes,15000,094D6542-1E2E-8948-A91F-61E5CC5A221E,7,25000,3571.428571,,
09A1E8E3-FCEA-B448-82D5-66C63802F970,Islam,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,1,1,1,1,200,3,3,,3,,1,,1,2,own,1,30,1,1,1,2,1,average,,,,,,,1,1,1,4,1,2,1,3,1,2,,,,,1,1,1,2,1,1,,,average,1,2,,,1,1,,,,,,,,,,,1,non-engine,,,,,1,own,,1,L,shared,1,2,,,,,,,1,0,0,,1,,,,,all from own work,all from own work,,,,1,,,231675,2,5,4,09A1E8E3-FCEA-B448-82D5-66C63802F970,713FD988-0A43-234D-A37C-C1FA7C55E24F,F,Respondent,0,0,0,0,No,0,09A1E8E3-FCEA-B448-82D5-66C63802F970,10,10000,1000,,
09D5EFC6-947E-D648-B633-169D3A6255F8,ISLAM,,1,,1,,,,,,,,,,,,,,,0,1,,,,,,1,1,1,1,25,3,3,,3,,2,,1,2,own,1,10,1,1,1,3,1,average,1,S,,,,,,,1,2,1,2,1,3,1,5,,,,,,1,1,1,1,2,1,1,average,1,9,,,,,,,,,,,,,,,,,,,,,1,own,,1,L,own,1,2,1,1,,,,,1,18,39,1,1,,,,,all from own work,all from bazar,,,,1,,,237250,2,6,3,09D5EFC6-947E-D648-B633-169D3A6255F8,A0564B04-EAA0-934E-B75D-C2631AF2DE89,F,Respondent,0,0,0,0,No,0,09D5EFC6-947E-D648-B633-169D3A6255F8,4,10500,2625,,
09DED313-18D4-394F-A9C2-50E410FE17F7,Islam,,1,,1,1,,,,,,1,Can,,,,,,,0,0,,,,,,1,1,,1,11,5,3,,3,,1,,1,2,own,,,,,,,,,1,M,,,,,,,1,2,1,3,1,3,,,,,,,1,1,1,1,1,1,,,average,1,6,,,1,1,,,,,,,,,,,1,non-engine,,own,,,1,,,,,,1,2,1,1,,,,,1,3,0,1,,,,,,all from bazar,25 percent from own work,,,,,,,221740,2,5,2,09DED313-18D4-394F-A9C2-50E410FE17F7,32D06DE1-C51C-8247-81A8-4509720DB48C,F,Respondent,,,,,No,,09DED313-18D4-394F-A9C2-50E410FE17F7,6,NA,,,
0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91,ISLAM,,1,,,,,,,,,,,,,,,,,0,0,,,,,,1,1,,1,200,8,3,,3,,1,,1,3,own,1,15,1,3,1,7,1,more,,,,,1,1,1,1,1,5,1,7,1,7,1,6,,,,1,1,1,1,2,1,3,,,average,1,4,,,,,,,,,1,1,,,,,,,,,,,1,own,,1,L,shared,1,2,1,2,,,,,1,0,0,0,,,1,1,,25 percent from own work,25 percent from own work,,,,,,,352975,2,7,5,0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91,1570BD4C-F98E-BF41-8343-B0BFB62137DB,F,Respondent,0,0,0,,No,0,0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91,14,0,0,,
0AD825DB-3DD8-8C43-8EDE-CF030F6098EF,ISLAM,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,1,1,1,1,100,2,3,,3,,1,,1,3,own,1,15,,,1,1,1,less,,,,,,,,,1,1,1,1,1,2,1,2,,,,,1,1,1,1,,,,,less,,,,,,,,,,,,,,,,,,,,,,,1,own,,1,M,own,1,1,,,,,,,1,9,20,1,1,,1,1,,50 percent from own work,all from bazar,,,,,,,87980,2,2,1,0AD825DB-3DD8-8C43-8EDE-CF030F6098EF,B9A16108-42D1-2541-AB54-7603B296DA18,F,Respondent,0,0,0,0,No,0,0AD825DB-3DD8-8C43-8EDE-CF030F6098EF,5,12000,2400,,
