"id","religion","skilledWork","skilledWorkWhich","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","No_in_hh","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","travel_in_bangladesh","labor_migrant_bari_in_bangladesh","gender","yearOfBirth","ageAtDeath","maritalStatus","mainOccupation","edulevel_years_of_education_values_0to19__blank_is_dont_know","inschool","educationmedium","husband_occupation","husband_years_education","husband_in_school","husband_ed_medium","watchTV_mins_per_month","relocate_MI","bank_vs_micro","institutionloan_vs_other"
"05C58388-D7A4-6843-B3F1-C8F975C3D744","ISLAM",0,"",1,"25 percent from own work",132820,6,6291.66666666667,2,"average",5,0,2,15,10,10,10,30,30,60,360,10,10,10,2,"F",1980,0,2,18,10,"No","Bangla",10,14,"No","Bangla",0,0,0,0
"074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE","ISLAM",0,"",1,"75 percent from own work",303825,13,40683.3333333333,11,"average",6,0,0,10,30,30,10,20,60,90,270,20,60,10,3,"F",1951,0,2,18,0,"No","No educaiton",1,5,"No","Bangla",0,1,0,1
"07912EE6-0285-4048-9223-1B307628C02E","ISLAM",1,"WEAVING MATE",1,"all from bazar",359195,10,90550,9,"average",5,0,0,60,60,60,30,30,30,30,180,30,30,15,12,"F",1951,0,4,18,5,"No","Bangla",0,5,"No","Bangla",900,0,0,0
"07D320AF-3E76-1A43-88F4-2FC765780D48","ISLAM",0,"",1,"all from bazar",319450,5,45000,4,"less",5,0,2,8,21,21,5,15,80,20,210,20,30,4,4,"F",1977,0,2,18,5,"No","Bangla",9,0,"No","No educaiton",900,0,0,0
"086650F0-9323-AC45-8619-68599A4BE2ED","HINDU",0,"",2,"all from bazar",168500,9,31000,2,"average",5,0,0,15,0,60,15,60,60,60,240,15,60,0,0,"F",1960,0,2,18,5,"No","Bangla",0,5,"No","Bangla",0,0,0,1
"088850A9-DE8C-7349-932E-E1E370A38076","ISLAM",1,"Pati banano",1,"all from bazar",54780,4,15000,1,"less",5,0,0,5,45,45,5,30,30,120,300,30,30,15,5,"F",1976,0,2,18,8,"No","Aliya Madrassa",5,0,"0","0",60,0,0,0
"08B360C1-D860-FA4E-952A-945A3446D9D1","ISLAM",0,"",2,"all from bazar",429050,7,1800,4,"average",5,0,0,10,10,10,10,60,60,3,180,10,60,8,7,"F",1961,0,4,18,0,"No","No educaiton",10,10,"No","Bangla",0,0,0,0
"08C490B8-8D54-A647-853F-31C05F5B472F","ISLAM",0,"",2,"25 percent from own work",200500,5,6666.66666666667,1,"average",1,0,0,5,0,60,30,120,180,30,120,30,30,9,5,"F",1980,0,2,18,9,"No","Bangla",1,10,"No","Bangla",0,1,0,0
"094D6542-1E2E-8948-A91F-61E5CC5A221E","ISLAM",0,"",1,"all from bazar",291200,7,45000,5,"average",3,0,1,10,30,30,7,30,30,20,180,20,30,5,3,"F",1972,0,0,18,9,"No","Bangla",10,10,"No","Bangla",900,0,0,0
"09A1E8E3-FCEA-B448-82D5-66C63802F970","ISLAM",0,"",1,"all from own work",231675,10,21333.3333333333,1,"average",5,0,0,5,30,30,5,30,30,5,180,5,60,2,1,"F",1963,0,2,18,0,"No","No educaiton",1,4,"No","Bangla",0,0,0,1
"09D5EFC6-947E-D648-B633-169D3A6255F8","ISLAM",0,"",1,"all from bazar",237250,4,36833.3333333333,1,"average",6,0,0,30,0,60,30,60,60,120,240,30,30,8,11,"F",1967,0,2,18,9,"No","Bangla",10,12,"No","Bangla",0,0,1,1
"09DED313-18D4-394F-A9C2-50E410FE17F7","ISLAM",0,"",1,"25 percent from own work",221740,6,16458.3333333333,0,"less",5,0,0,30,40,40,30,30,30,45,180,30,30,8,10,"F",1980,0,2,18,9,"No","Bangla",23,9,"No","Bangla",0,1,0,0
"0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91","ISLAM",0,"",1,"25 percent from own work",352975,14,39166.6666666667,9,"average",7,0,2,5,10,10,10,20,30,40,180,20,30,9,5,"F",1959,0,2,18,0,"No","No educaiton",10,5,"No","Bangla",0,0,0,0
"0AD825DB-3DD8-8C43-8EDE-CF030F6098EF","ISLAM",0,"",1,"all from bazar",87980,5,12000,4,"less",2,0,0,15,20,20,15,30,30,60,240,15,30,8,2,"F",1960,0,4,18,1,"No","Bangla",9,0,"No","No educaiton",900,0,0,0
"0ADE1685-655F-754F-A83E-4B72CECB364A","ISLAM",0,"",1,"25 percent from own work",307100,6,35000,1,"average",7,0,1,30,30,30,30,60,60,30,300,5,60,6,5,"F",1986,0,2,18,5,"No","Bangla",12,7,"No","Bangla",0,0,0,1
"0BC68E77-B5B5-9849-9D16-EE9778C77915","ISLAM",0,"",1,"all from bazar",255950,8,95833.3333333333,5,"more",7,0,1,5,30,30,10,10,180,30,240,10,60,8,18,"F",1966,0,4,18,0,"No","No educaiton",10,3,"No","Bangla",40,0,0,0
"0C13009C-8F36-2143-9C73-C67CB5EF153C","ISLAM",0,"",2,"all from bazar",139025,5,25000,2,"less",3,0,0,10,0,60,15,30,30,30,240,15,60,4,19,"F",1965,0,2,18,6,"No","Bangla",4,5,"No","Bangla",1800,0,0,0
"0C2C4CE0-F13F-8A4A-B9DD-C8FFC2E6B968","ISLAM",1,"PATI BONA,KHATHA SHELAI",2,"all from bazar",146395,10,60000,1,"average",5,0,1,30,15,15,5,10,40,5,60,5,10,12,0,"F",1958,0,4,18,1,"No","Bangla",1,5,"No","Bangla",0,0,0,0
"0C662831-52DD-1041-96F2-CDBE6A6201E0","ISLAM",0,"",1,"all from bazar",149820,10,46000,8,"less",2,0,3,10,30,30,10,30,30,10,360,20,30,3,13,"F",1956,0,4,18,0,"No","No educaiton",0,2,"No","Bangla",0,0,0,0
"0D0EFB1D-95F7-F24F-AAF6-A9B971C687BB","ISLAM",1,"PATI",1,"25 percent from own work",381350,6,9750,1,"average",6,0,0,10,10,10,10,10,30,3,150,10,10,12,15,"F",1972,0,2,18,9,"No","Bangla",9,12,"No","Bangla",120,0,0,0
"0D554B9D-B2DF-854F-B137-FADDAEC745CF","ISLAM",0,"",1,"all from bazar",214975,15,85000,0,"more",5,0,0,20,60,60,10,60,40,20,150,10,40,6,6,"F",1955,0,2,18,8,"No","Bangla",15,9,"No","Bangla",0,0,0,0
"0D7AB5CE-5901-964C-8D88-795B4B2B0912","ISLAM",0,"",1,"50 percent from own work",390275,8,91666.6666666667,5,"average",8,0,3,10,20,20,10,10,60,10,150,10,10,12,1,"F",1968,0,2,18,2,"No","Bangla",1,9,"No","Bangla",0,0,0,0
"0DB81420-7024-084E-8DA0-7D1437E1A811","ISLAM",1,"Pati banate pare",2,"75 percent from own work",290975,11,43500,8,"less",9,0,0,5,0,60,2,20,80,60,120,10,20,16,39,"F",1960,0,2,18,0,"No","No educaiton",2,2,"No","Bangla",0,0,0,1
"0E00593C-28D3-3843-BF1D-6FEE2D742AFA","ISLAM",1,"HANDY CRAFT",1,"all from bazar",149075,8,15650,1,"average",5,0,0,20,30,30,30,30,30,20,180,20,30,11,14,"F",1984,0,2,18,13,"No","Bangla",10,0,"0","0",0,1,0,0
"0E2849BB-373F-704C-AE53-72C2ACD925D0","ISLAM",0,"",2,"25 percent from own work",227380,9,16433.3333333333,3,"less
more",4,0,0,10,10,10,10,10,30,40,240,10,10,13,9,"F",1961,0,2,18,0,"No","Bangla",1,5,"No","Bangla",0,0,0,0
"0E300876-4672-8C41-8707-85A661E29E63","ISLAM",1,"Pati .Maylla",2,"all from bazar",272425,10,52000,13,"less",4,0,2,2,20,20,20,20,20,40,240,20,20,26,12,"F",1965,0,0,18,0,"No","No educaiton",23,0,"No","No educaiton",1800,0,0,0
"0E3761BC-9733-9E49-84DC-09D31528F47C","ISLAM",0,"",1,"all from bazar",213920,9,34416.6666666667,6,"average",4,0,2,20,30,30,2,30,30,2,180,2,30,4,3,"F",1969,0,2,18,3,"No","Bangla",4,0,"No","No educaiton",0,0,0,0
"0E726AFA-C218-F548-864F-86C40E9B4639","ISLAM",1,"MOYLLA",2,"25 percent from own work",180625,9,36208.3333333333,0,"less",4,0,0,20,90,90,30,90,90,40,210,30,30,6,14,"F",1984,0,2,18,7,"No","Bangla",1,2,"No","Bangla",0,1,0,0
"0E92ECE0-A7B9-6846-9720-3429EEEEE532","ISLAM",0,"",1,"all from bazar",329020,17,50000,6,"average",6,0,3,20,30,30,5,30,30,60,240,5,30,7,7,"F",1948,0,4,18,0,"No","No educaiton",1,5,"No","Bangla",5400,0,0,1
"0F4219CA-3684-D844-8EF6-10B9603B6955","ISLAM",0,"",1,"all from bazar",245500,5,40000,2,"average",8,0,1,0,60,60,0,0,0,0,180,0,0,6,5,"F",1983,0,2,18,10,"No","Bangla",10,10,"No","Bangla",0,1,0,0
"1038A9EF-81CE-7848-BF09-47630858C071","HINDU",0,"",1,"all from bazar",218975,8,22443.6666666667,1,"less",3,0,0,5,10,10,5,5,60,60,150,5,60,10,6,"F",1968,0,2,18,0,"No","No educaiton",9,0,"No","No educaiton",0,0,0,0
"103B32D5-58EA-264B-AA97-207D1911AE21","ISLAM",1,"PATI PAKHA",1,"25 percent from own work",238075,6,16833.3333333333,8,"more",5,0,0,10,10,10,5,20,25,40,180,10,20,7,4,"F",1966,0,2,18,5,"No","Bangla",2,0,"No","Bangla",2700,0,0,1
"107B6230-1C4C-0D43-ABC9-8389C924D1AD","ISLAM",0,"",1,"75 percent from own work",264850,10,63666.6666666667,5,"more",6,0,1,15,15,15,5,5,25,46,90,5,5,12,3,"F",1962,0,2,18,0,"No","No educaiton",1,0,"0","0",0,0,0,1
"11249C1C-5862-784E-B43A-3936E7D788C8","ISLAM",0,"",1,"all from bazar",50385,9,34500,16,"average",3,0,0,5,30,30,10,30,30,30,180,10,30,21,4,"F",1954,0,2,18,0,"0","0",0,9,"No","Bangla",2700,0,1,1
"1171BC0A-57BF-544D-A9BD-6FCDDC194F8B","ISLAM",0,"",2,"75 percent from own work",117784,6,25666.6666666667,0,"less",1,0,0,10,30,90,15,15,60,60,240,15,15,12,4,"F",1963,0,2,18,0,"No","No educaiton",2,0,"0","0",1800,0,0,0
"11B54D99-D709-174B-9EFB-9FA183AAE79F","ISLAM",0,"",2,"all from bazar",78950,7,12100,1,"less",3,0,0,20,30,30,30,30,30,90,240,30,30,6,3,"F",1979,0,2,18,5,"No","Bangla",10,8,"No","Bangla",0,1,0,0
"12249750-7E29-AE4A-9F01-25B18960C004","HINDU",0,"",2,"all from bazar",47675,15,33000,3,"average",3,0,0,10,0,60,30,30,30,30,180,30,180,4,2,"F",1955,0,4,18,0,"No","No educaiton",5,0,"0","0",0,0,0,0
"1227A235-0E6D-F54B-B945-4789965BB98E","HINDU",0,"",1,"all from bazar",84160,5,12000,0,"less",1,0,0,15,25,25,10,15,15,15,180,15,20,8,4,"F",1983,0,2,18,4,"No","Bangla",4,0,"No","No educaiton",0,0,0,0
"12E7A782-DD69-784A-8163-FCE3EC3BFA72","HINDU",0,"",1,"all from bazar",227750,4,10000,2,"less",3,0,0,10,30,30,10,30,60,30,150,15,30,17,5,"F",1980,0,2,18,0,"No","No educaiton",9,5,"No","Bangla",3600,0,0,0
"13556211-99ED-C647-B236-C803BDF9FB15","ISLAM",0,"",1,"all from bazar",205500,6,6333.33333333333,1,"more",3,0,0,10,40,40,20,20,20,20,120,20,140,3,3,"F",1965,0,2,18,0,"No","No educaiton",1,5,"No","Bangla",0,0,0,1
"1357842D-F937-FD44-8C30-5E717E621252","ISLAM",0,"",2,"all from bazar",293650,10,22800,6,"less",1,0,0,30,0,60,5,60,30,60,180,60,60,2,5,"F",1968,0,2,18,0,"No","No educaiton",23,0,"No","No educaiton",30,0,0,1
"137FE0EC-DA82-3B41-8EAB-EDF756730257","ISLAM",0,"",1,"all from bazar",388950,7,19000,2,"average",5,0,0,10,15,15,10,10,45,20,180,5,15,25,25,"F",1959,0,4,18,10,"No","Bangla",10,14,"No","Bangla",9000,1,0,0
"13C71AC6-A236-BE40-94D0-734AB077FE8B","HINDU",0,"",1,"all from bazar",268850,11,55000,4,"average",6,0,2,5,15,15,10,10,60,20,180,5,5,9,8,"F",1957,0,2,18,0,"No","No educaiton",9,10,"No","Bangla",3600,1,0,0
"13D85A3A-8BEE-8145-BF71-395EA4605B9C","ISLAM",0,"",1,"all from bazar",160575,7,25000,1,"average",4,0,0,20,6,6,3,10,30,30,150,10,30,6,15,"F",1985,0,2,8,8,"No","Bangla",9,0,"0","0",900,1,0,0
"1423C99E-F357-3E41-BFA8-AD4C919A66ED","ISLAM",0,"",1,"all from bazar",189750,8,42100,1,"less",3,0,2,30,30,30,10,30,30,90,240,10,30,3,7,"F",1980,0,2,18,8,"No","Bangla",10,0,"0","0",3600,1,0,0
"146C5E3F-BACD-404C-A670-184E5E9835B2","ISLAM",0,"",2,"25 percent from own work",155375,5,5083.33333333333,3,"average",4,0,0,10,60,60,15,15,60,15,180,15,15,8,41,"F",1968,0,2,18,7,"No","Bangla",2,10,"No","Bangla",0,0,0,0
"14837634-2F57-8E46-BA5C-5D85C943CDCA","ISLAM",1,"PATI",2,"75 percent from own work",124200,4,6250,0,"average",4,0,0,15,20,20,10,30,30,10,180,30,30,6,2,"F",1983,0,2,18,10,"No","Don't know",9,12,"No","Bangla",30,1,0,0
"157B3B2E-4165-444B-A8BD-23D7B8F3751B","ISLAM",0,"",2,"75 percent from own work",190375,5,18100,1,"average",3,0,0,15,0,60,15,60,60,30,210,30,60,6,10,"F",1977,0,2,18,5,"No","Bangla",23,0,"No","No educaiton",30,0,0,1
"15B7B4CF-89F5-9C4C-B951-B5C451BF8D73","ISLAM",0,"",3,"25 percent from own work",133120,6,583.333333333333,0,"average",4,0,0,2,30,30,30,30,60,20,180,20,60,4,9,"F",1980,0,2,18,8,"No","Bangla",1,9,"No","Bangla",0,0,0,0
"15DC6CA3-64B2-C745-84E3-5E8176AD8DCC","HINDU",0,"",2,"all from bazar",146859,10,17600,1,"less",2,0,0,20,30,30,5,5,90,5,180,5,5,3,0,"F",1959,0,2,18,2,"No","Bangla",0,8,"No","Bangla",0,0,0,0
"1649D7E5-326C-794F-8578-78FECAC7C154","ISLAM",1,"TAILAR",1,"50 percent from own work",448850,9,42500,2,"average",10,0,1,3,35,35,40,40,45,40,180,35,45,8,1,"F",1983,0,2,18,0,"0","0",13,14,"No","Bangla",1800,0,0,0
"16A526B1-4627-3E4E-BE3A-8FA8F4131549","ISLAM",0,"",1,"75 percent from own work",137525,8,72083.3333333333,10,"less",6,0,3,5,30,30,20,20,90,90,300,5,30,5,3,"F",1950,0,2,18,0,"0","0",1,0,"0","0",0,0,0,1
"16BA5DBE-1B0F-7549-A897-2CDC3BC9938A","ISLAM",1,"PATI",1,"25 percent from own work",256585,8,26083.3333333333,4,"less",7,0,2,5,15,15,10,10,90,30,180,10,45,6,19,"F",1962,0,2,18,0,"No","No educaiton",2,0,"No","No educaiton",1800,0,0,0
"16F50600-8FAB-BE45-86B9-DC0B581049A3","ISLAM",0,"",1,"50 percent from own work",485015,11,177916.666666667,4,"more",10,0,0,15,15,15,15,60,80,45,140,15,45,14,10,"F",1963,0,2,18,5,"No","Bangla",1,10,"No","Bangla",480,0,0,1
"17C2FB67-7BF2-394E-99F5-9AA55848A2DE","ISLAM",0,"",1,"all from bazar",494775,4,146000,2,"more",10,2,1,30,30,30,50,30,30,20,210,5,30,12,20,"F",1979,0,2,18,0,"No","No educaiton",13,9,"No","Bangla",1800,0,0,0
"17C6E529-4CAA-584C-A473-055526B4F0FF","ISLAM",1,"PATI,PAKHA",1,"50 percent from own work",321100,10,22083.3333333333,4,"less",4,0,1,15,30,30,2,10,70,8,150,10,30,6,12,"F",1967,0,2,18,5,"No","Bangla",1,3,"No","Bangla",0,0,0,0
"18CEFECF-6C83-BD41-BECD-5BFFFE8C47E2","ISLAM",0,"",2,"all from bazar",186450,4,5000,2,"less",3,0,0,3,20,20,10,20,45,10,180,10,20,27,2,"F",1972,0,2,18,12,"No","Bangla",10,10,"No","Bangla",900,1,0,0
"194E6D9C-9F01-9946-9F5D-9F814290256A","ISLAM",0,"",2,"all from bazar",68880,8,15600,3,"less",2,0,0,5,20,20,5,10,60,70,180,10,60,6,9,"F",1950,0,4,18,0,"No","No educaiton",2,2,"No","Bangla",0,0,0,0
"1967844D-27A5-E141-A2C0-AC4F9858992C","ISLAM",1,"Pati bona.",1,"75 percent from own work",259110,5,0,2,"average",4,0,0,15,20,80,30,30,105,45,150,30,30,8,3,"F",1972,0,2,18,4,"No","Bangla",1,3,"No","Bangla",900,0,0,0
"19B9F9A5-4086-4A4A-9C69-C84F5150A71D","ISLAM",0,"",1,"25 percent from own work",400075,11,64875,9,"less",7,0,1,10,15,15,15,15,15,30,180,15,15,9,10,"F",1959,0,2,18,5,"No","Bangla",1,6,"No","Bangla",900,0,1,1
"19BBC60A-79A8-8C40-87FD-4FAF88B36B5B","HINDU",0,"",1,"25 percent from own work",311750,6,10333.3333333333,0,"average",4,0,0,5,30,30,10,30,40,5,120,5,30,4,5,"F",1967,0,2,18,0,"No","No educaiton",9,0,"No","No educaiton",7200,0,0,0
"19F77498-99FA-7440-BE05-36A58DDAE675","ISLAM",0,"",1,"all from bazar",280395,10,5000,7,"more",5,0,2,10,30,30,10,30,30,20,150,30,30,10,0,"F",1960,0,2,18,4,"No","Bangla",10,15,"No","Bangla",0,0,0,0
"1A05E825-2217-804F-B68B-662352EC8938","ISLAM",0,"",2,"50 percent from own work",180795,7,20666.6666666667,0,"less",5,0,4,5,15,15,15,15,45,30,240,15,15,7,4,"F",1989,0,2,18,5,"No","Bangla",4,0,"0","0",0,0,0,1
"1A9E8DE8-7DFC-5244-9A8B-6D1A54B5CC9E","ISLAM",0,"",1,"75 percent from own work",189630,4,7666.66666666667,1,"less",2,0,0,10,30,30,10,30,30,30,240,10,30,6,3,"F",1980,0,2,18,5,"No","Bangla",4,0,"No","No educaiton",0,1,0,1
"1AC7E903-43E4-7045-9BBD-68F66B0D6B55","ISLAM",0,"",1,"all from bazar",452750,7,48600,3,"more",7,0,2,5,30,30,5,30,30,5,180,5,30,5,7,"F",1973,0,2,18,5,"No","Bangla",4,2,"No","Bangla",60,1,0,0
"1B5463F0-EDF8-0F4B-B5E1-0540802CF166","ISLAM",0,"",2,"all from bazar",258375,6,15000,2,"less",3,0,0,20,20,20,10,20,60,20,180,20,20,11,5,"F",1965,0,2,18,0,"No","No educaiton",24,2,"No","Bangla",0,0,0,0
"1BB0EC77-564F-DF4E-A17C-1EF5C6285396","ISLAM",1,"WEAVING MATE",2,"all from bazar",218600,6,51000,4,"less",6,0,0,5,80,20,10,30,30,40,240,10,30,20,17,"F",1973,0,4,18,5,"No","Bangla",1,9,"No","Bangla",1800,1,0,0
"1BF872DC-7F65-D149-96EB-96F043A488CD","ISLAM",1,"TAILORING",1,"75 percent from own work",363725,6,33666.6666666667,0,"average",5,0,0,5,30,30,15,15,45,15,120,15,15,12,4,"F",1976,0,2,18,9,"No","Bangla",10,9,"No","Bangla",0,0,0,0
"1CB5A96A-9457-4446-82FC-552F367CB9AA","ISLAM",0,"",1,"all from bazar",655400,8,0,2,"more",7,0,0,10,20,20,10,10,10,10,300,5,10,14,11,"F",1971,0,2,18,10,"No","Bangla",9,0,"0","0",3600,1,0,0
"1D37C796-ED6D-5A41-A699-C970B73E91F9","ISLAM",0,"",2,"all from bazar",575725,14,121666.666666667,8,"average",6,0,1,10,20,20,10,60,60,10,120,10,10,5,7,"F",1957,0,2,18,0,"No","No educaiton",0,1,"No","Bangla",0,1,0,0
"1D457514-0E43-EB49-8D49-63CE5D824CE2","ISLAM",0,"",3,"all from bazar",80180,5,18000,0,"average",4,0,0,10,30,30,5,30,30,30,240,5,30,4,10,"F",1969,0,2,18,1,"No","Bangla",4,1,"No","Bangla",0,0,0,0
"1E5FD9D7-D84D-F941-9573-292FD64C4ECB","ISLAM",1,"KATHA SHELAI",1,"50 percent from own work",221300,8,5400,0,"less",3,0,0,8,20,20,10,15,60,12,150,15,30,2,4,"F",1982,0,2,18,0,"0","0",2,0,"No","No educaiton",0,1,0,0
"1F3A7474-6D31-0142-A2A3-A27A48F4E79A","ISLAM",0,"",1,"all from bazar",590225,7,160000,10,"average",6,0,2,10,10,10,5,15,40,5,180,5,15,8,45,"F",1955,0,4,18,5,"No","Bangla",10,10,"No","Bangla",300,0,0,0
"1F4969F9-010D-1641-9E6D-3BCED0DA25B6","ISLAM",1,"MATE, HAND FAN",2,"25 percent from own work",94205,4,5375,0,"less",4,0,3,10,10,10,10,10,30,5,120,10,10,8,21,"F",1970,0,2,18,6,"No","Bangla",4,5,"No","Bangla",7200,1,0,0
"1F8C3A10-880B-7844-88B7-30CBFBF11BD2","ISLAM",0,"",4,"all from bazar",194470,6,0,2,"more",0,0,0,30,0,60,20,30,60,30,180,20,30,9,17,"F",1967,0,2,18,5,"No","Bangla",10,7,"No","Bangla",0,0,0,0
"1FE19333-99A8-A44F-B82B-809211C99A88","ISLAM",0,"",1,"all from bazar",371665,7,50800,5,"average",5,0,3,5,40,40,25,60,75,20,150,25,60,11,22,"F",1973,0,2,18,5,"No","Bangla",9,5,"No","Bangla",1800,0,0,0
"2032792F-3197-6143-AD04-500B0413353D","ISLAM",1,"TAILORING",1,"25 percent from own work",359350,7,24600,7,"less",6,0,2,10,5,5,30,30,45,15,180,5,10,12,6,"F",1970,0,2,18,7,"No","Bangla",8,8,"No","Bangla",3600,1,1,1
"207C5ED1-82C3-7E4B-9AC2-96930556CB5E","ISLAM",0,"",1,"25 percent from own work",242225,7,20350,3,"average",2,0,0,5,15,15,5,20,30,30,150,20,30,6,2,"F",1981,0,2,18,7,"No","Bangla",10,10,"No","Bangla",1800,1,0,1
"20AB90E2-EFED-474C-8374-F2367C8FA7DC","ISLAM",1,"MOILLA, PATI, DALA, CHALUN.",2,"all from bazar",76425,9,5000,8,"less",5,0,2,10,30,30,5,10,60,10,210,10,10,10,7,"F",1952,0,4,18,5,"No","Bangla",2,5,"No","Bangla",0,0,0,0
"20B71C2D-B95B-DF42-8CAE-6C69E465FC90","ISLAM",1,"WEAVING MATE.",1,"25 percent from own work",289825,4,4250,1,"less",5,0,0,20,10,10,5,25,25,25,180,5,25,12,32,"F",1987,0,2,18,9,"No","Bangla",1,12,"No","Bangla",1800,0,0,0
