id,idhusband,interviewDate,notesRecord,HusbandAge,notesOccupation,foodSourceChildhood,foodSourceNow,skilledWork,skilledWorkWhich,skilledWorkLearnedFromParent,skilledWorkLearnedFromRelative,skilledWorkLearnedFromFriend,skilledWorkLearnedFromApprenticeship,skilledWorkLearnedFromSchool,skilledWorkLearnedFromSelf,skilledWorkLearnedFromOther,skilledWorkLearnedYears,skilledWorkLearnedMonths,skilledWorkLearnedDays,skilledWorkTeaching,skilledWorkTeachingChildren,skilledWorkTeachingRelatives,skilledWorkTeachingFriends,skilledWorkTeachingApprentice,skilledWorkTeachingOther,skilledWorkTeachingYears,skilledWorkTeachingMonths,skilledWorkTeachingDays,notesSkills,religiousEducationMuslim,religiousEducationFromSchool,religiousEducationFromReligiousLeader,religiousEducationFromFamily,religiousEducationFromTemple,religiousEducationFromNoOne,religiousEducationFromRelatives,religiousEducationNeverLearned,religiousEducationFromOthers,religiousEducationReadReligiousText,religiousEducationReadTextLevel,religiousEducationReadTextBangla,religiousEducationReadTextSanskrit,religiousEducationReciteText,religiousEducationMemorizeTextLevel,religiousEducationGoneOnUmrah,religiousEducationGoneOnHajj,religiousEducationNumberFamilyUmrah,religiousEducationNumberFamilyHajj,religiousEducationReadOtherHolyBooks,religiousEducationGoneOnPilgrimageIndia,religiousEducationGoneToHolyPlaces,religiousEducationNumberPilgrimageIndia,religiousEducationNumberHolyPlaces,notesReligiousEducation,respondentDhakaVisit,respondentBangladeshVisit,respondentAbroadVisit,MacArthurLadderPresent,MacArthurLadderPast,MacArthurLadderTelephonePresent,MacArthurLadderTelephonePast,listenRadio,watchTVMinutes,watchTVHours,watchTVPer,useInternet,notesMarketIntegration,perceptionRiskEconomy,perceptionRiskJobs,perceptionRiskChildrenSick,perceptionRiskAdultsSick,perceptionRiskChildrenDie,perceptionRiskAdultsDie,perceptionRiskYoungerAdultsDie,perceptionRiskOlderAdultsDie,perceptionRiskPeopleLive,perceptionRiskRTA,perceptionRiskInjury,perceptionRiskViolence,healthBetelnut,healthBetelnutDay,healthBetelnutMonth,healthBetelnutYears,healthSmoke,healthCigarettesDay,healthSmokeYears,healthPassiveSmoke,abilityToWorkRespondent,illnessRespondent,hospitalRespondent,seriousIllnessRespondent,seriousIllnessRespondentDescription,chronicIllnessRespondent,chronicIllnessRespondentDescription,notesHealth,loanInstitution1,loanInstitution1Type,loanInstitution2,loanInstitution2Type,loanInstitution3,loanInstitution3Type,loanCooperative,notesSocialNetwork
,5BAC37F1-2EFC-704B-A12F-3908619D1361,14-Nov-17,,75,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,2,1,0,3,2,,,0,0,0,,0,,3,3,1,1,1,1,1,1,3,1,2,1,,,,,,,,,3,3,3,3,ASTHMA,1,1- ASTHMA 2- DIABETES,,,,,,,,,
,13243147-18DA-A144-A5BC-4797AEF74997,15-Jul-18,,45,,all from bazar,all from own work,1,ELECTRICIAN,,,1,,,,,2,0,0,,,,,,,,,,,,,,1,,,,,,1,Can,1,,,Nothing,,,,,1,,1,0,1,,8,2,1,,,1,2,0,30,0,day,0,,3,3,1,1,3,1,1,2,3,1,1,1,,,,,,,,,1,2,2,1,DIARRHOEA,1,GASTRIC,,ASHA,microcredit,BRAC,microcredit,GRAMEEN BANK,microcredit,,
,9EAF6FEC-D461-744B-9176-EEBAB223F50E,18-Jul-18,,66,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,0,4,,3,3,1,2,4,,,0,30,0,,0,,3,3,1,1,3,1,1,1,3,1,1,1,,,,,1,7,50,,1,1,0,0,NA,1,DIABETIC.,,,,,,,,,
,77DD77E8-CDB7-C848-8958-5C636EE9CB07,04-Jul-18,,70,,50 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,Very good,1,1,1,Little,,,,,1,1,1,3,2,,8,2,2,,,2,3,0,0,1,day,0,,3,3,3,3,3,3,3,3,1,1,1,3,1,6,,30,,,,,2,0,3,3,DIAEEHEA . DIABETIC .,1,DIABETIC . PRESSURE .,,,,,,,,,
,17E81249-9CB4-5443-9A1C-929B450544F7,01-Apr-18,,69,,all from bazar,75 percent from own work,1,KHATNA  KARANO,1,,,,,,,2,0,0,1,,1,,,,1,0,0,,1,,,,,,,,,,,,,,,,,0,0,,,,,,,5,3,0,4,3,,,0,0,1,day,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,30,,24,,,,,2,2,2,2,ALGA DHORA. RIGHT LEG SEVER PAIN.,1,RESPIRATORY PROBLEM.,,ASHA,microcredit,GRAMIN  BANK,microcredit,B R A C,microcredit,,
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,18776E1E-8C64-F047-987A-49F74B8D808E,25-Jan-18,,57,,75 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,4,3,0,5,3,,,0,0,0,,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,5,,3,,,,,1,1,1,0,,1,"Heart problem, Asthma",,,,,,,,,
0178768C-E351-7843-A226-C6984596E710,5B93AB69-4195-F94A-A75A-ECD1B271FD1F,14-Mar-18,,44,,50 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,Can,,1,1,Little,,,,,1,1,,2,0,,3,1,1,5,3,,,0,0,2,day,0,,3,1,3,3,3,1,1,3,1,1,3,1,,,,,,,,,2,0,0,,,,,,,,,,,,,
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,77C3039A-7EC7-CF40-989F-17A41D4A62D4,14-Mar-18,,53,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,Very good,1,,1,Little,,,,,1,1,,3,0,,7,2,2,5,5,,,0,30,0,day,0,,1,3,1,1,1,1,1,3,3,1,1,1,,,,,,,,,1,0,2,2,1- ACCIDENT 2- APPENDICYTICE,,,,,,,,,,,
030EA194-651A-8946-941E-206CC63BCAEB,B3E99AC9-E247-014B-B214-5F74B1D3F141,30-Jun-18,,61,,75 percent from own work,all from bazar,1,MECHANIC,,,,,,1,,3,0,0,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,0,0,,,,,,,4,5,0,5,4,,,0,30,0,day,2,,3,3,1,1,3,1,1,1,3,1,1,1,,,,,1,3,40,,1,1,0,,,1,GASTRIC,,,,,,,,,
03109834-AB70-5743-8083-93570FA8DAE8,61F59CD7-AB2E-7C41-BF2A-E28F35E23200,06-Jul-18,,48,,all from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,Can,,,,,,,1,0,,,,,,,3,4,3,5,4,,,0,30,0,day,0,,3,3,1,1,2,1,1,1,2,1,1,1,,,,,,,,,1,1,0,,,1,ALLERGY AND GASTRIC.,,GRAMEEN BANK,microcredit,,,,,,
036B1777-78F2-0140-9036-51546D9271E1,A503409A-E351-8447-A922-1CF8638DD2DC,02-Feb-18,,60,,25 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,4,2,1,5,3,,,0,0,1,week,,,3,1,1,1,1,1,3,3,3,1,3,1,1,15,,30,,,,,2,3,3,0,NA,1,HEART PROBLEM. BATER  BETHA.,,,,,,,,,
03E5D296-CE95-412A-8830-E2E14DA84844,9A6ED3CA-B21C-D245-BAED-A28DAD42C43C,12-Nov-17,,62,,75 percent from own work,50 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,2,1,4,2,,,0,30,0,day,0,,1,1,1,1,1,1,1,1,3,1,1,1,1,2,,4,1,5,30,,1,1,1,1,HEART ATTACK,,,,,,,,,,,
04953CAB-14FB-2A44-8AAB-9348634CE657,B6003560-C93D-9043-BECD-92736CBE9AF8,14-Jul-18,,51,,75 percent from own work,25 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,0,0,,,,,,,8,2,0,,,2,2,0,0,1,,0,,3,3,3,3,3,3,3,1,3,3,3,3,1,6,,3,,,,,1,3,0,2,DIARRHEA .  ARTHRITIS,,,,,,,,,,,
0542540B-4CD8-0547-8B67-9916E3E1102F,49EE0A30-FC1F-8943-BDC4-5D0CDCCC1790,20-Mar-18,,47,,all from bazar,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,2,0,3,2,,,0,0,0,-,2,,3,1,1,1,3,1,1,1,3,1,1,1,,,,,,,,,1,1,0,,,,,,UDDIPON,microcredit,,,,,,
05973754-27A6-1E4F-96B5-1AD53A56B667,D2CFF3E7-88E0-0F43-9297-E31D9F931DBF,10-Apr-18,,58,,all from own work,50 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,4,0,0,7,5,,,0,30,2,day,0,,3,3,1,1,1,1,1,1,3,1,3,1,1,4,,12,1,12,26,,2,2,2,1,Accident,,,,,,,,,,,
05C58388-D7A4-6843-B3F1-C8F975C3D744,4856779A-5560-3B46-AD7E-E9D397D0F931,01-Dec-17,,46,,25 percent from own work,50 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,4,5,0,2,4,,,0,30,0,day,1,,3,3,1,1,1,1,1,1,3,1,1,1,,,,,,,,,1,1,1,1,ASTHMA,1,ASTHMA,,,,,,,,,
074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE,274ED237-949D-944D-A0C6-3D67826ECCD7,04-Jan-18,,74,,75 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,3,0,4,3,,,0,0,0,NA,0,,3,3,2,1,3,2,1,1,3,1,1,1,1,5,,50,1,10,20,,1,1,0,,NA,,,,BRAC,microcredit,,,,,,
07D320AF-3E76-1A43-88F4-2FC765780D48,30504A03-9023-834D-B146-86477580AD81,12-May-18,,48,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,3,1,5,6,,,0,0,0,,0,,1,3,1,1,1,1,3,3,3,1,1,1,,,,,,,,,1,1,0,1,Liver Problem,,,,Grameen Bank,microcredit,,,,,,
086650F0-9323-AC45-8619-68599A4BE2ED,99C80A64-7058-914B-A7EF-115344A85524,01-Apr-18,,62,,75 percent from own work,25 percent from own work,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,Can,1,,,,,,,,,,1,0,3,,1,2,0,4,3,,,0,30,0,,0,,3,3,3,3,3,1,1,1,3,1,3,1,1,10,,40,,,,,1,0,0,1,BROKEN  HIP  JOINT.,1,HIGH  PRESSURE .  BACK  PAIN .,,KRISHI BANK,bank,,,,,,
088850A9-DE8C-7349-932E-E1E370A38076,AEDAB195-1B88-0B4C-AE71-2A2D618D222F,10-Jan-18,Original RID entered differently,45,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,CAN,,,,,,,0,0,,,,,,,5,3,0,3,2,,,0,0,40,day,0,,3,3,1,2,3,1,1,2,3,1,1,1,,,,,1,20,28,,1,1,0,0,NA,,,,,,,,,,,
08C490B8-8D54-A647-853F-31C05F5B472F,77C17294-15F2-A74F-BF4E-467F294E3222,08-May-18,,39,,25 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,0,,,,,,,4,4,2,4,5,,,0,30,0,day,0,,3,3,1,1,3,1,1,1,3,1,1,1,,,,,,,,,1,1,2,,,1,Diabetes,,,,,,,,,
09A1E8E3-FCEA-B448-82D5-66C63802F970,ABDD900B-1AAA-0D4A-B5E2-BE8654C40525,28-Apr-18,,59,,75 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,3,0,4,4,,,0,40,0,day,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,4,,30,1,8,30,,1,1,1,0,,,,,CCDA,microcredit,,,,,,
09D5EFC6-947E-D648-B633-169D3A6255F8,E65E11BB-9AA5-A24C-A9C7-64C8F32ED545,08-Nov-17,,56,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,4,5,0,5,3,,,0,0,2,day,1,,3,1,3,3,3,3,1,3,1,1,1,1,,,,,,,,,1,0,0,,,,,,ASHA,microcredit,KARMASHANGSTHAN BANK,bank,JANATA BANK,bank,,
09DED313-18D4-394F-A9C2-50E410FE17F7,C09E7A6A-2AE8-724C-BD76-32ACA6406329,29-Nov-17,,52,,50 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,2,0,2,3,,,0,0,1,day,0,,3,3,1,1,1,1,1,1,3,1,2,1,1,4,,2,1,8,5,,1,1,0,1,ABDOMINAL PROBLEM,,,,BRAC,microcredit,ISLAMI BANK,bank,,,,
0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91,C1D66FB4-90AB-3E4C-9EBD-6D28C43C2BB5,22-Jan-18,,62,,all from bazar,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,1,1,,,,,,,4,1,0,5,4,,,0,0,1,day,0,,3,3,1,1,2,1,1,1,3,1,1,1,,,,,,,,,1,1,2,0,NA,,,,AGRANI BANK,microcredit,,,,,,
0C13009C-8F36-2143-9C73-C67CB5EF153C,3CD3BD61-6B62-2148-ACDB-C0D6132195EF,10-Jul-18,,56,,all from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,0,0,,,,,,,4,5,3,5,4,,,0,30,0,week,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,4,,12,1,25,44,,1,1,0,0,NA,1,SLIPPING  PROBLEM .,,B R A C,microcredit,GOVERNMENT  SOMITI,microcredit,,,,
0D0EFB1D-95F7-F24F-AAF6-A9B971C687BB,3B8E3412-0E4D-BA41-A511-2E8BCC916E48,29-Jan-18,,48,,50 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,5,5,3,6,4,,,0,0,2,day,1,,3,3,1,1,3,1,1,1,3,1,1,1,1,5,,2,1,20,27,,1,1,1,2,"Dysentery ,Heart Problem,",1,"Gastric,Heart Problem,",,Asha,microcredit,,,,,,
0D554B9D-B2DF-854F-B137-FADDAEC745CF,D3909AF4-9985-504D-9C43-3C07E568ABB2,30-Jan-18,,71,,all from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,5,4,0,3,4,,,0,35,0,day,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,25,,32,,,,,1,1,3,0,,1,"Diabetes, heart Problem",,Sonali Bank,bank,,,,,,
0D7AB5CE-5901-964C-8D88-795B4B2B0912,12F41644-DE40-DD45-8AFC-0747AFD142A0,17-Apr-18,,54,,75 percent from own work,50 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,1,,,,,,,5,2,0,6,4,,,0,15,1,day,0,,3,3,1,1,3,1,1,3,1,1,3,1,1,5,,6,,,,,2,3,3,2,"Kidney stone operation, Stroke",1,"Gastric,High BP,Thyroid Problem",,,,,,,,,
0DB81420-7024-084E-8DA0-7D1437E1A811,626B23EC-B344-CE42-9800-D5B12C731F11,28-Apr-18,,57,,75 percent from own work,50 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,8,2,0,4,3,,,0,0,0,-,0,,3,1,1,1,3,3,1,1,3,1,3,1,,,,,1,10,35,,1,3,0,2,"Accident,Malaria",,,,Grameen Bank,microcredit,Paige,microcredit,,,,
0E00593C-28D3-3843-BF1D-6FEE2D742AFA,B9194D4B-FC30-D54B-8382-82AB1E09B598,08-Jul-18,,45,,25 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,8,4,0,,,1,2,0,0,1,day,0,,3,3,3,2,3,3,3,1,1,1,1,3,,,,,,,,,1,2,0,,,,,,,,,,,,,
0E2849BB-373F-704C-AE53-72C2ACD925D0,167795A0-6C5E-F24D-9CC0-F25E99EF1473,28-Dec-17,,61,,75 percent from own work,50 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,3,3,0,4,3,,,0,30,0,week,0,,3,1,2,1,3,2,1,2,3,1,1,1,,,,,,,,,1,1,0,2,1- DENGUE FEVER 2- ABDOMEN PAIN.,,,,,,,,,,,
0E300876-4672-8C41-8707-85A661E29E63,B5B06107-4827-1442-968B-AE9C102C707D,24-Dec-17,,61,,25 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,3,0,3,2,,,0,35,0,day,0,,3,3,1,1,1,1,1,1,3,1,1,1,,,,,1,8,46,,1,1,0,2,1- BLOOD WITH URINE 2- HEART PROBLEM,1,HEART PROBLEM,,BRAC,microcredit,ASHA,microcredit,CCDA,microcredit,,
0E3761BC-9733-9E49-84DC-09D31528F47C,93A0127D-616F-D041-B42B-EA89E1445A7D,14-Jan-18,,55,,75 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,3,0,4,2,,,0,0,0,,1,,3,3,1,1,1,1,1,1,3,1,1,1,1,5,,20,,,,,1,1,1,0,,1,Mental Problem,,Islami Bank,bank,BRAC,microcredit,,,,
0E726AFA-C218-F548-864F-86C40E9B4639,DA3A80B3-B353-D144-81A2-5F480B019E3D,12-Dec-17,,42,,75 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,2,2,0,4,3,,,0,30,0,day,0,,3,2,1,1,1,1,2,2,3,1,2,1,,,,,,,,,1,1,0,,,,,,,,,,,,,
1038A9EF-81CE-7848-BF09-47630858C071,7030343A-2704-444E-AE79-F7C4685440A9,16-Apr-18,,64,,all from bazar,all from bazar,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0,5,,3,1,0,3,2,,,0,30,1,day,0,,3,3,1,1,3,1,1,3,1,1,3,1,1,10,,22,1,5,36,,2,3,0,2,"Stroke,acute respiratory problem",1,Respiratory problem,,Grammen Bank,microcredit,,,,,,
103B32D5-58EA-264B-AA97-207D1911AE21,A4562202-B1AA-A747-AF8F-5EF2A3D83957,30-Oct-17,,53,,all from bazar,75 percent from own work,1,MAKING OF MORA,,,1,,,,,0,0,20,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,2,0,4,3,,,0,0,30,day,0,,3,3,1,1,3,1,1,1,3,1,1,1,,,,,1,15,28,,1,1,0,2,DIARRHOEA,,,,,,,,,,,
107B6230-1C4C-0D43-ABC9-8389C924D1AD,91137A75-31D8-3D4A-8B66-60C5A8156E77,07-May-18,,62,,25 percent from own work,75 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,4,4,0,5,3,,,0,30,0,day,2,,3,3,1,1,2,1,1,1,3,1,1,1,,,,,1,25,37,,1,1,0,1,Road accident,,,,,,,,,,,
11249C1C-5862-784E-B43A-3936E7D788C8,20FDCB9F-815F-354D-B82D-562AF8A5D5FC,12-Nov-17,,66,,25 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,3,2,2,3,2,,,0,30,0,day,0,,3,1,1,1,1,1,1,1,3,1,1,1,1,3,,20,1,7,20,,2,1,1,1,HAND BROKEN,,,,ASHA,microcredit,BRAC,microcredit,,,,
1171BC0A-57BF-544D-A9BD-6FCDDC194F8B,015D90CB-26FF-A74B-8727-25D9D046530A,01-Feb-18,,57,,75 percent from own work,50 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,3,0,2,3,,,0,0,20,week,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,5,,3,1,10,7,,1,1,0,0,NA,,,,BRAC,microcredit,,,,,,
11B54D99-D709-174B-9EFB-9FA183AAE79F,7776FD96-3F71-AF43-8D05-DD615C14E704,05-Jul-18,possible error in CID? Doesn't match wife's record,43,,all from bazar,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,8,8,0,,,2,3,0,30,0,week,0,,3,3,3,3,3,1,1,3,3,1,3,1,,,,,1,3,7,,1,3,0,5,FIVER.  JAUNDICE .,,,,,,,,,,,
