id,marketIntegrationPrimarySchoolMinutes,marketIntegrationPrimarySchoolHours,marketIntegrationPrimarySchoolByFoot,marketIntegrationPrimarySchoolByRickshaw,marketIntegrationPrimarySchoolByTomTom,marketIntegrationPrimarySchoolByCNG,marketIntegrationPrimarySchoolByBoat,marketIntegrationPrimarySchoolByBus,marketIntegrationHighSchoolMinutes,marketIntegrationHighSchoolHours,marketIntegrationHighSchoolByFoot,marketIntegrationHighSchoolByRickshaw,marketIntegrationHighSchoolByTomTom,marketIntegrationHighSchoolByCNG,marketIntegrationHighSchoolByBoat,marketIntegrationHighSchoolByBus,marketIntegrationCollegeMinutes,marketIntegrationCollegeHours,marketIntegrationCollegeByFoot,marketIntegrationCollegeByRickshaw,marketIntegrationCollegeByTomTom,marketIntegrationCollegeByCNG,marketIntegrationCollegeByBoat,marketIntegrationCollegeByBus,marketIntegrationSmallBazaarMinutes,marketIntegrationSmallBazaarHours,marketIntegrationSmallBazaarByFoot,marketIntegrationSmallBazaarByRickshaw,marketIntegrationSmallBazaarByTomTom,marketIntegrationSmallBazaarByCNG,marketIntegrationSmallBazaarByBoat,marketIntegrationSmallBazaarByBus,marketIntegrationLargeBazaarMinutes,marketIntegrationLargeBazaarHours,marketIntegrationLargeBazaarByFoot,marketIntegrationLargeBazaarByRickshaw,marketIntegrationLargeBazaarByTomTom,marketIntegrationLargeBazaarByCNG,marketIntegrationLargeBazaarByBoat,marketIntegrationLargeBazaarByBus,marketIntegrationTownMinutes,marketIntegrationTownHours,marketIntegrationTownByFoot,marketIntegrationTownByRickshaw,marketIntegrationTownByTomTom,marketIntegrationTownByCNG,marketIntegrationTownByBoat,marketIntegrationTownByBus,marketIntegrationMainRoadMinutes,marketIntegrationMainRoadHours,marketIntegrationMainRoadByFoot,marketIntegrationMainRoadByRickshaw,marketIntegrationMainRoadByTomTom,marketIntegrationMainRoadByCNG,marketIntegrationMainRoadByBoat,marketIntegrationMainRoadByBus,marketIntegrationDhakaMinutes,marketIntegrationDhakaHours,marketIntegrationDhakaByCNG,marketIntegrationDhakaByBus,marketIntegrationDhakaByLaunch,marketIntegrationPharmacyMinutes,marketIntegrationPharmacyHours,marketIntegrationPharmacyByFoot,marketIntegrationPharmacyByRickshaw,marketIntegrationPharmacyByTomTom,marketIntegrationPharmacyByCNG,marketIntegrationPharmacyByBoat,marketIntegrationPharmacyByBus,marketIntegrationMBBSMinutes,marketIntegrationMBBSHours,marketIntegrationMBBSByFoot,marketIntegrationMBBSByRickshaw,marketIntegrationMBBSByTomTom,marketIntegrationMBBSByCNG,marketIntegrationMBBSByBoat,marketIntegrationMBBSByBus,marketIntegrationHospitalMinutes,marketIntegrationHospitalHours,marketIntegrationHospitalByFoot,marketIntegrationHospitalByRickshaw,marketIntegrationHospitalByTomTom,marketIntegrationHospitalByCNG,marketIntegrationHospitalByBoat,marketIntegrationHospitalByBus,husbandDhakaVisit,husbandBangladeshVisit,husbandAbroadVisit,respondentDhakaVisit,respondentBangladeshVisit,respondentAbroadVisit,relocatedSince1997,relocatedSince1997Number,relocationJob,relocationFinancialImprovement,relocationFinancialProblems,relocationFamilyProblems,relocationBetterEducation,relocationBetterHealthcare,relocationBetterInfrastructure,relocationMarriage,relocationOther,relocationOtherDescription,closerToPrimarySchool,closerToCollege,closerToMarket,closerToTown,closerToMainRoad,closerToCity,natalBariDhakaMale,natalBariDhakaFemale,natalBariBangladeshMale,natalBariBangladeshFemale,natalBariAbroadMale,natalBariAbroadFemale,maritalBariDhakaMale,maritalBariDhakaFemale,maritalBariBangladeshMale,maritalBariBangladeshFemale,maritalBariAbroadMale,maritalBariAbroadFemale,familiesFoodShare,familiesCooperationAgriculture,familiesCooperationChildcare,familiesLoanActivity,familyBariWealthBefore,familyBariWealthAfter,familyBariEducationBefore,familyBariEducationAfter,familyBariReligiousBefore,familyBariReligiousAfter,familyBariSocialSizeBefore,familyBariSocialSizeAfter,familyBariSocialClassBefore,familyBariSocialClassAfter,familyBariPoliticalBefore,familyBariPoliticalAfter,MacArthurLadderPresent,MacArthurLadderPast,listenRadio,watchTVMinutes,watchTVHours,watchTVPer,useInternet
04337336-BCF5-1449-8E35-EBFF3AAE55CE,5,0,1,,,,,,30,0,1,,,,,,30,0,,,1,,,,20,0,1,,,,,,30,0,,,1,,,,30,0,,,1,,,,20,0,1,,,,,,0,4,1,1,,20,0,1,,,,,,30,0,,,1,,,,30,0,,,1,,,,2,2,0,0,2,0,1,1,,,,,,,,1,,,,,,,,,0,0,0,0,6,0,4,2,1,1,6,0,0,0,0,0,average,less,average,average,average,average,more,average,middle,middle,not at all,not at all,2,3,0,0,0,,0
048AA5B0-AA47-6B41-A1D1-050BB85D70FD,2,0,1,,,,,,15,0,1,,,,,,30,0,1,,,,,,5,0,1,,,,,,20,0,,,1,,,,20,0,,,1,,,,10,0,,,1,,,,0,3,1,1,,5,0,1,,,,,,20,0,,,1,,,,15,0,,,1,,,,8,8,8,3,8,0,1,1,,1,,,,,,,,,1,1,1,,,,0,0,5,4,0,0,5,4,1,1,0,0,0,0,0,0,more,average,less,average,more,more,more,more,middle,middle,not at all,not at all,3,3,0,4,0,day,1
04953CAB-14FB-2A44-8AAB-9348634CE657,5,0,,,,,,,5,0,,,,,,,15,0,,,,,,,15,0,,,,,,,25,0,,,,,,,25,0,,,,,,,35,0,,,,,,,0,4,,,,5,0,,,,,,,25,0,,,,,,,30,0,,,,,,,8,8,0,4,4,0,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2,4,0,0,3,0,0,0,0,0,average,more,average,average,more,more,more,more,middle,middle,not at all,not at all,6,5,0,60,,day,0
0542540B-4CD8-0547-8B67-9916E3E1102F,5,0,1,,,,,,30,0,1,,,,,,30,0,,,,1,,,20,0,1,,,,,,30,0,,,1,1,,,20,0,,,1,1,,,20,0,,1,1,,,,0,2,,1,,20,0,1,,,,,,10,0,1,,,,,,30,0,,,,1,,,2,1,0,2,1,0,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,average,average,average,more,average,more,average,less,middle,upper,not at all,not at all,5,5,0,30,0,week,0
05973754-27A6-1E4F-96B5-1AD53A56B667,20,0,1,,,,,,15,0,,,,1,,,10,0,1,,,,,,5,0,1,,,,,,15,0,,,,1,,,0,1,,,,1,,,10,0,1,,,,,,0,3,,1,,5,0,1,,,,,,15,0,,1,,,,,10,0,,1,,,,,4,3,0,3,3,0,,,,,,,,,,,,,,,,,,,5,5,0,0,6,0,15,10,7,3,10,0,0,0,0,0,more,more,more,more,more,more,more,more,middle,middle,not at all,not at all,7,6,0,30,0,day,1
05C58388-D7A4-6843-B3F1-C8F975C3D744,15,0,,,,,,,10,0,,,,,,,10,0,,,,,,,10,0,,,,,,,30,0,,,,,,,30,0,,,,,,,0,1,,,,,,,0,6,,,,10,0,,,,,,,10,0,,,,,,,30,1,,,,,,,2,6,0,2,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,less,average,less,average,average,more,average,average,middle,middle,not at all,not at all,5,2,0,,0,,2
074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE,10,0,1,,,,,,10,0,1,,,,,,30,0,,,,1,,,10,0,1,,,,,,20,0,,,,1,,,0,1,1,,,,,,30,1,,,,1,,,30,4,,,1,20,0,1,,,,,,0,1,,,,1,,,30,0,,,,1,,,2,3,0,2,3,0,1,1,,1,,,,,,,,,,,,,,,0,0,0,0,7,0,1,0,2,0,4,0,0,0,0,0,more,average,more,average,average,average,average,average,upper,middle,not at all,not at all,6,6,0,0,0,,0
07912EE6-0285-4048-9223-1B307628C02E,0,1,1,,,,,,0,1,1,,,,,,0,1,1,,,,,,30,0,1,,,,,,30,0,,,,1,,,30,0,,,,1,,,30,0,,,,1,,,0,3,,1,,30,0,,,,1,,,30,0,,,,1,,,30,1,,,,1,,,8,0,1,4,3,0,,,,,,,,,,,,,,,,,,,7,5,0,0,1,1,0,0,0,0,2,0,0,0,0,0,more,average,more,average,more,average,more,more,upper,middle,less,average,5,2,,30,0,day,0
07D320AF-3E76-1A43-88F4-2FC765780D48,8,0,,,,,,,15,0,,,,,,,21,0,,,,,,,5,0,,,,,,,15,0,,,,,,,20,1,,,,,,,20,0,,,,,,,30,3,,,,20,0,,,,,,,30,0,,,,,,,0,1,,,,,,,2,0,2,2,0,0,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,more,average,average,less,more,average,average,average,lower,middle,not at all,not at all,5,8,0,30,0,day,2
086650F0-9323-AC45-8619-68599A4BE2ED,15,0,1,,,,,,15,0,1,,,,,,0,1,,,,1,,,15,0,1,,,,,,0,1,,,,1,,,0,1,,,,1,,,0,1,,,,1,,,0,4,,1,,15,0,1,,,,,,0,1,,,,1,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,average,average,more,average,average,average,average,average,middle,middle,not at all,not at all,5,2,0,0,0,,0
088850A9-DE8C-7349-932E-E1E370A38076,5,0,1,,,,,,30,0,,,1,,,,45,0,,,1,,,,5,0,1,,,,,,30,0,,,,,1,,30,0,,,,1,,,0,2,,,,1,,,0,5,,1,1,30,0,,,,,1,,30,0,,,,1,,,45,1,,,,1,,,4,2,0,8,1,0,1,1,,,1,,,,,,,,,,,,,,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,less,less,more,less,more,less,average,average,middle,middle,not at all,not at all,5,6,0,15,0,week,0
08B360C1-D860-FA4E-952A-945A3446D9D1,10,0,1,,,,,,10,0,1,,,,,,10,0,,,1,,,,10,0,1,,,,,,0,1,,,,1,,,0,1,,,,1,,,3,0,1,,,,,,0,3,1,1,,10,0,1,,,,,,0,1,,,,1,,,10,1,,,,1,,,2,2,0,2,2,0,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,4,2,0,1,9,0,0,0,0,0,average,average,less,average,more,more,more,more,middle,middle,not at all,not at all,5,3,0,0,0,,0
08C490B8-8D54-A647-853F-31C05F5B472F,5,0,,,,,,,5,0,,,,,,,0,1,,,,,,,30,0,,,,,,,0,2,,,,,,,0,3,,,,,,,30,0,,,,,,,0,2,,,,30,0,,,,,,,30,0,,,,,,,0,3,,,,,,,5,2,1,2,0,0,1,1,,,,,,,,1,,,,1,,,1,1,0,0,0,0,1,0,3,2,0,0,2,0,0,0,0,0,average,average,average,average,average,average,less,less,middle,middle,not at all,not at all,1,3,0,0,,,0
094D6542-1E2E-8948-A91F-61E5CC5A221E,10,0,1,,,,,,20,0,1,,,,,,30,0,,1,1,,,,7,0,1,,,,,,30,0,,1,,,,,30,0,,1,,,,,20,0,1,,,,,,0,3,,1,,20,0,1,,,,,,30,0,,1,,,,,30,0,,1,,,,,2,0,2,2,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,1,1,0,3,0,0,0,0,0,more,less,average,average,average,average,more,average,upper,middle,less,not at all,3,5,0,30,0,day,1
09A1E8E3-FCEA-B448-82D5-66C63802F970,5,0,1,,,,,,5,0,1,,,,,,30,0,1,,,1,,,5,0,1,,,,,,30,0,,,,1,,,30,0,,,,1,,,5,0,1,,,,,,0,3,,1,,5,0,1,,,,,,0,1,,,,1,,,0,2,,,,1,,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,average,more,less,average,average,average,average,more,middle,middle,not at all,not at all,5,4,0,0,0,,0
09D5EFC6-947E-D648-B633-169D3A6255F8,30,0,1,,,,,,30,0,1,,,,,,0,1,,,,1,,,30,0,1,,,,,,0,1,,,,1,,,0,1,,,,1,,,0,2,,,,1,,,0,4,1,1,,30,0,1,,,,,,30,0,1,,,,,,30,1,,,,1,,,2,2,0,2,2,0,,,,,,,,,,,,,,,,,,,4,3,1,0,1,0,2,0,1,0,0,0,0,0,0,0,more,average,more,average,average,average,more,average,upper,middle,average,less,6,3,0,0,0,,0
09DED313-18D4-394F-A9C2-50E410FE17F7,30,0,,,,,,,30,0,,,,,,,40,0,,,,,,,30,0,,,,,,,30,0,,,,,,,30,0,,,,,,,45,0,,,,,,,0,3,,,,30,0,,,,,,,30,0,,,,,,,40,0,,,,,,,4,2,0,1,1,0,1,2,,1,,,,,,1,,,,,,,,,3,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,less,average,less,less,more,average,more,average,middle,middle,not at all,not at all,5,2,0,0,0,,0
0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91,5,0,1,,,,,,40,0,1,,,,,,10,0,,,,1,,,10,0,1,,,,,,20,0,1,,,,,,30,0,,,,1,,,40,0,,,,1,,,0,3,1,1,,20,0,1,,,,,,30,0,,,,1,,,40,0,,,,1,,,8,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,less,less,average,average,more,more,more,more,lower,middle,not at all,not at all,7,5,0,0,0,,2
0AD825DB-3DD8-8C43-8EDE-CF030F6098EF,15,0,1,,,,,,20,0,1,,,,,,20,0,1,,,,,,15,0,1,,,,,,30,0,,,,1,,,30,0,,,,1,,,0,1,,,,1,,,0,4,,1,,15,0,1,,,,,,30,0,,,,1,,,45,0,,,,1,,,2,0,0,3,3,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,average,average,less,less,average,average,less,more,middle,middle,not at all,not at all,2,1,0,30,0,day,0
0ADE1685-655F-754F-A83E-4B72CECB364A,30,0,1,,,,,,30,0,1,,1,,,,30,0,,,1,,,,30,0,,,1,,,,0,1,,,1,,,,0,1,,,1,,,,30,0,,,1,,,,0,5,,1,,5,0,1,,,,,,0,1,,,,1,,,50,0,,,,1,,,2,1,1,2,1,0,1,1,,,,,,,,1,,,,,,,,,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,average,more,average,average,average,average,average,more,middle,middle,not at all,not at all,7,6,0,0,0,,1
0BC68E77-B5B5-9849-9D16-EE9778C77915,5,0,1,,,,,,20,0,1,,,,,,30,0,,,,1,,,10,0,1,,,,,,10,0,1,,,1,,,0,3,,,,1,,,30,0,,,,1,,,0,4,,1,,10,0,1,,,,,,0,1,,,,1,,,0,3,,,,1,,,4,1,3,1,2,0,,,,,,,,,,,,,,,,,,,1,3,1,1,1,0,6,6,0,0,6,0,0,0,0,0,less,average,more,more,more,more,average,more,middle,upper,average,not at all,7,6,0,10,0,week,1
0C13009C-8F36-2143-9C73-C67CB5EF153C,10,0,1,,,,,,10,0,1,,,,,,0,1,,,,1,,,15,0,1,,,,,,30,0,,,,1,,,30,0,,,,1,,,30,0,,,,1,,,0,4,,1,,15,0,1,,,,,,0,1,,,,1,,,0,1,,,,1,,,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,8,6,0,0,2,0,5,0,0,0,0,0,0,0,0,0,less,less,average,less,average,less,average,average,middle,middle,not at all,not at all,3,2,0,0,1,day,
0C2C4CE0-F13F-8A4A-B9DD-C8FFC2E6B968,30,0,1,,,,,,10,0,,,1,,,,15,0,,,1,,,,5,0,1,,,,,,10,0,,,1,,,,40,0,,,,1,,,5,0,1,,,,,,0,1,,1,,5,0,1,,,,,,10,0,,,,1,,,40,0,,,,1,,,8,0,0,4,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,average,more,average,average,more,more,more,average,middle,middle,less,average,5,3,0,0,0,,1
0C662831-52DD-1041-96F2-CDBE6A6201E0,10,0,,,,,,,30,0,,,,,,,30,0,,,,,,,10,0,,,,,,,30,0,,,,,,,30,0,,,,,,,10,0,,,,,,,0,6,,,,20,0,,,,,,,30,0,,,,,,,0,1,,,,,,,1,1,0,1,0,0,1,1,,,,1,,,,,,,,,,,,,2,0,0,0,0,0,3,3,1,4,0,0,0,0,0,0,less,less,less,less,less,average,more,average,middle,middle,not at all,not at all,2,2,0,0,0,0,3
0D0EFB1D-95F7-F24F-AAF6-A9B971C687BB,10,0,1,,,,,,10,0,,,,1,,,10,0,,,,1,,,10,0,,,,1,,,10,0,,,,1,,,30,0,,,,1,,,3,0,1,,,,,,30,2,,1,,10,0,,,,1,,,10,0,,,,1,,,40,0,,,,1,,,4,4,8,2,2,0,,,,,,,,,,,,,,,,,,,7,5,0,0,6,0,1,2,0,0,5,0,0,0,0,0,more,average,less,average,more,more,more,more,middle,middle,not at all,average,6,4,0,30,0,week,0
0D554B9D-B2DF-854F-B137-FADDAEC745CF,20,0,1,,,,,,0,1,1,,1,,,,0,1,1,,1,,,,10,0,1,,,,,,0,1,1,,1,,,,40,0,,,,1,,,20,0,1,,1,,,,30,2,,1,,10,0,1,,,,,,40,0,1,,,1,,,40,0,1,1,,1,,,2,1,0,2,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,average,average,average,more,average,more,average,average,middle,middle,not at all,not at all,5,5,0,0,0,,0
0D7AB5CE-5901-964C-8D88-795B4B2B0912,10,0,1,,,,,,10,0,1,,,,,,20,0,1,,,,,,10,0,1,,,,,,10,0,1,,,,,,0,1,,,,1,,,10,0,1,,,,,,30,2,,1,,10,0,1,,,,,,10,0,1,,,,,,0,1,,,,1,,,8,0,0,4,0,0,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,average,average,average,average,average,average,average,average,middle,middle,average,average,8,5,0,0,0,,3
0DB81420-7024-084E-8DA0-7D1437E1A811,5,0,1,,,,,,5,0,1,,,,,,0,1,,,,1,,,2,0,1,,,,,,20,0,,,,1,,,20,1,,,,1,,,0,1,,,,1,,,0,2,,1,,10,0,1,,,,,,20,0,,,,1,,,0,2,,,,1,,,8,2,0,4,2,0,,,,,,,,,,,,,,,,,,,20,10,0,0,10,0,5,3,0,1,4,0,0,0,0,0,average,average,more,less,more,less,more,less,upper,middle,not at all,not at all,9,6,0,0,0,,0
